어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
초원KIDS아카데미어린이집,경기도,가평군,민간,39,5,경기도 가평군 조종면 연인산로 19-1,031-584-4424,031-584-4424,39,5,7,Y,http://www.childcare.go.kr/,2017-04-20
청심어린이집,경기도,가평군,민간,34,6,경기도 가평군 설악면 미사리로286번길 16 청심어린이집,031-589-9900,031-589-9900,34,6,14,Y,http://www.childcare.go.kr/,2017-04-20
예원어린이집,경기도,가평군,민간,110,16,경기도 가평군 가평읍 가화로 202,031-581-7292,031-581-7292,138,16,16,Y,http://www.childcare.go.kr/,2017-04-20
에코비어린이집,경기도,가평군,민간,34,7,경기도 가평군 조종면 청군로 1300 에코비어린이집,031-585-4834,031-585-4834,34,7,5,Y,http://www.childcare.go.kr/,2017-04-20
아이사랑아트스쿨어린이집,경기도,가평군,민간,89,13,경기도 가평군 시장중앙로 7  -20,031-585-6968,031-585-6968,89,13,8,Y,http://www.childcare.go.kr/,2017-04-20
세종대왕어린이집,경기도,가평군,민간,80,8,경기도 가평군 조종면 조종새싹로 64,031-585-3420,031-585-3420,80,8,10,Y,http://www.childcare.go.kr/,2017-04-20
사무엘어린이집,경기도,가평군,민간,97,13,경기도 가평군 가평읍 석봉로191번길 52,031-582-6623,031-582-6623,97,13,12,Y,http://www.childcare.go.kr/,2017-04-20
두손어린이집,경기도,가평군,민간,78,9,경기도 가평군 가평읍 정간내로19번길 22,031-582-6336,031-582-6336,78,9,8,Y,http://www.childcare.go.kr/,2017-04-20
금빛어린이집,경기도,가평군,민간,39,6,경기도 가평군 가평읍 강산길 25,031-582-1678,031-582-1678,39,6,4,Y,http://www.childcare.go.kr/,2017-04-20
j.j baby school어린이집,경기도,가평군,민간,39,8,경기도 가평군 조종면 연인산로 10,031-585-9170,031-585-9170,39,8,6,Y,http://www.childcare.go.kr/,2017-04-20
청평새나래어린이집,경기도,가평군,국공립,49,7,경기도 가평군 청평면 갈오현로 21 새나래어린이집,031-584-5844,031-584-5844,49,7,10,N,http://www.childcare.go.kr/,2017-04-20
설악어린이집,경기도,가평군,국공립,59,7,경기도 가평군 설악면 한서로 18-16 설악어린이집,031-584-5687,031-584-5687,59,7,7,Y,http://www.childcare.go.kr/,2017-04-20
북면어린이집,경기도,가평군,국공립,56,9,경기도 가평군 북면 석장모루길 10,031-582-8357,031-582-8357,56,9,7,Y,http://www.childcare.go.kr/,2017-04-20
피노키오어린이집,경기도,가평군,가정,20,7,경기도 가평군 청평면 경춘로 807-18 청구아파트 102동 104호,031-584-1551,031-584-1551,28,7,5,Y,http://www.childcare.go.kr/,2017-04-20
햇살나무어린이집,경기도,가평군,가정,20,6,경기도 가평군 가평읍 문화로 63 선힐아파트102동102호,031-585-3791,031-585-3791,20,6,4,Y,http://www.childcare.go.kr/,2017-04-20
에코비해솔어린이집,경기도,가평군,가정,20,6,경기도 가평군 가화로 223 파란채아파트  103-105,031-581-1137,031-581-1137,20,6,4,Y,http://www.childcare.go.kr/,2017-04-20
생명의빛어린이집,경기도,가평군,가정,20,3,경기도 가평군 상면 기와집길 4 생명의빛어린이집,031-585-6624,031-585-6624,20,3,4,Y,http://www.childcare.go.kr/,2017-04-20
쁘띠베베어린이집,경기도,가평군,가정,18,7,경기도 가평군 조종면 청군로 1319 쁘띠베베어린이집,031-584-1529,031-584-1529,18,7,4,Y,http://www.childcare.go.kr/,2017-04-20
라온어린이집,경기도,가평군,가정,19,4,경기도 가평군 가평읍 문화로 63  선힐하이뷰 102동 103호,031-585-0677,031-585-0677,19,4,4,Y,http://www.childcare.go.kr/,2017-04-20
동화마을어린이집,경기도,가평군,가정,20,6,경기도 가평군 설악면 신천중앙로120번길 20-45 에코빌 B동 102호,031-584-2511,031-584-2511,20,6,4,Y,http://www.childcare.go.kr/,2017-04-20
꼬마별어린이집,경기도,가평군,가정,20,5,"경기도 가평군 가평읍 가화로 223 101동 106호(읍내리, 에이원파란채)",031-585-0037,031-585-0037,20,5,4,Y,http://www.childcare.go.kr/,2017-04-20
삼성보금자리어린이집,경기도,고양시 덕양구,가정,20,6,"경기도 고양시 덕양구 호국로 860 213동 103호(성사동, 래미안휴레스트아파트)",031-962-2984,,3,0,4,N,,2017-02-24
이튼어린이집,경기도,고양시 덕양구,민간,26,6,경기도 고양시 덕양구 무원로 52 (행신동),031-970-3334,070-4727-7984,4,0,4,Y,,2017-02-24
탄현동신어린이집,경기도,고양시 일산서구,민간,26,6,"경기도 고양시 일산서구 산현로17번길 38 탄현마을11단지 관리동(탄현동, 탄현마을11단지아파트)",031-922-7959,031-925-7959,3,0,4,Y,,2017-02-24
오즈의성어린이집,경기도,고양시 일산서구,민간,23,6,경기도 고양시 일산서구 고양대로 724-17 산들마을 아파트 관리동 1층,031-922-3323,031-922-9227,3,0,4,Y,http://club.cyworld.com/ozschool,2017-02-24
크레파스어린이집,경기도,고양시 일산동구,민간,26,6,경기도 고양시 일산동구 은행마을로 16 관리동 크레파스 어린이집,031-901-2256,031-901-2256,1,0,4,Y,,2017-02-24
그림나라어린이집,경기도,고양시 덕양구,민간,25,1,경기도 고양시 덕양구 푸른마을로 15 푸른마을 3단지 내 (벽제동),031-963-2366,031-963-2366,3,0,3,N,,2017-02-24
일산서구청직장어린이집,경기도,고양시 일산서구,직장,25,6,경기도 고양시 일산서구 중앙로 1542 신동아노블타워 109호(대화동),031-918-3338,,3,0,5,N,,2017-02-24
숲속마을키즈월드어린이집,경기도,고양시 일산동구,민간,25,5,경기도 고양시 일산동구 풍동 숲속마을 2단지 관리동,031-904-0708,,3,0,4,N,,2017-02-24
해피베이비궁어린이집,경기도,고양시 덕양구,민간,24,6,경기도 고양시 덕양구 충장로103번길 46 1층2호(행신동),031-979-2244,031-979-2244,3,0,4,Y,http://www.ikidschool.com,2017-02-24
고양청사푸르미어린이집,경기도,고양시 덕양구,직장,23,7,"경기도 고양시 덕양구 화중로104번길 50 (화정동,정부고양지방합동청사)",031-966-3396,031-966-3395,2,1,6,N,,2017-02-24
숲속에어린이집,경기도,고양시 일산서구,민간,22,5,"경기도 고양시 일산서구 대화1로 70 대화동, 양우아파트, 관리사무소 1층",031-919-6906,031-919-6906,3,0,4,N,,2017-02-24
예성어린이집,경기도,고양시 덕양구,민간,36,6,경기도 고양시 덕양구 대덕로125번길 32 (현천동),02-3158-6424,,5,0,8,Y,,2017-02-24
동문키즈어린이집,경기도,고양시 일산서구,민간,36,6,"경기도 고양시 일산서구 대화1로 51 (대화동,대화마을3단지 관리동)",031-923-3626,031-923-3626,4,0,4,Y,,2017-02-24
흰돌하얀나라어린이집,경기도,고양시 일산동구,가정,19,4,"경기도 고양시 일산동구 백석로 26 301동 101호(백석동, 흰돌마을한진국제3단지아파트)",031-812-7942,031-812-7942,3,0,4,N,http://www.cyworld.com/whiteland,2017-02-24
햇살아이어린이집,경기도,고양시 일산동구,가정,19,4,경기도 고양시 일산동구 강촌로 192 604동 102호,031-905-3530,,3,0,4,N,http://cafe.naver.com/mysunshinekids,2017-02-24
일산라온어린이집,경기도,고양시 일산동구,가정,19,6,"경기도 고양시 일산동구 백석로 119 214동 101호(백석동, 백송마을2단지)",031-817-1163,,3,0,4,N,,2017-02-24
엄마무릎어린이집,경기도,고양시 일산동구,가정,19,4,경기도 고양시 일산동구 강송로87번길 8-3,031-909-1566,031-909-1566,3,0,4,N,,2017-02-24
아이펀어린이집,경기도,고양시 일산동구,가정,19,4,경기도 고양시 일산동구 백석로 151 802동 103호,031-815-0335,050-041-3241,3,0,4,N,,2017-02-24
생각놀이어린이집,경기도,고양시 일산동구,가정,19,5,"경기도 고양시 일산동구 백석로 175 707동 103호(백석동, 백송마을임광7단지아파트)",070-8808-2419,031-906-2418,3,1,4,N,,2017-02-24
영아창의놀이어린이집,경기도,고양시 일산동구,가정,19,4,"경기도 고양시 일산동구 일산로 206 301동 102호(마두동, 백마마을3단지아파트)",031-932-1352,031-932-1352,1,0,4,N,,2017-02-24
꿈그린어린이집,경기도,고양시 일산동구,가정,19,5,"경기도 고양시 일산동구 공릉천로 66 302동 102호(사리현동, 동문아파트)",031-814-0606,031-814-0606,3,0,4,N,,2017-02-24
도깨비어린이집,경기도,고양시 덕양구,부모협동,18,4,경기도 고양시 덕양구 고양대로1730번길 128 (원흥동),031-969-3412,,3,0,0,N,http://gongdong.or.kr/커뮤니티/도깨비화정,2017-02-24
아기나무어린이집,경기도,고양시 덕양구,가정,18,3,"경기도 고양시 덕양구 성신로 77 1802동 103호(행신동, 햇빛마을18단지아파트)",031-810-9611,031-971-1656,1,0,4,N,,2017-02-24
호반솜담성균관어린이집,경기도,고양시 덕양구,가정,18,7,"경기도 고양시 덕양구 세솔로 25 2202동 103호(동산동, 동산마을호반베르디움22단지)",02-353-1233,02-353-1233,3,0,4,N,,2017-02-24
호반새싹빅스맘어린이집,경기도,고양시 덕양구,가정,18,5,"경기도 고양시 덕양구 세솔로 25 2210동 103호(동산동, 동산마을호반베르디움22단지)",02-6015-6008,,3,0,4,N,,2017-02-24
푸른아이꿈어린이집,경기도,고양시 덕양구,가정,18,4,"경기도 고양시 덕양구 푸른마을로 14 104동 106호(고양동, 푸른마을1단지)",031-969-5263,031-968-1366,3,0,4,N,,2017-02-24
클아이어린이집,경기도,고양시 일산서구,가정,19,4,"경기도 고양시 일산서구 탄현로 115-22 101동 105호(탄현동, 큰마을현대대림1단지아파트)",031-912-5255,031-912-5255,3,0,4,N,,2017-02-24
햇살아래어린이집,경기도,고양시 일산서구,가정,19,2,"경기도 고양시 일산서구 산현로17번길 28 1102동 101호(탄현동, 탄현마을동신11단지아파트)",031-921-0201,031-921-0201,3,0,4,N,,2017-02-24
탄현해오름어린이집,경기도,고양시 일산서구,가정,19,10,"경기도 고양시 일산서구 현중로 62 607동 101호(탄현동, 탄현마을한신6단지아파트)",031-921-0555,031-921-0555,3,0,5,N,,2017-02-24
탄현푸른하늘어린이집,경기도,고양시 일산서구,가정,19,5,경기도 고양시 일산서구 일현로 151 102동 102호(탄현동 쌍용아파트),031-957-7088,,4,0,4,Y,,2017-02-24
동신어린이집,경기도,고양시 일산서구,가정,18,5,"경기도 고양시 일산서구 대산로 53 410동 102호(주엽동, 강선마을동신4단지아파트)",031-918-6966,031-918-6967,4,0,4,N,http://cafe.naver.com/9186966,2017-02-24
마미키즈어린이집,경기도,고양시 일산서구,가정,18,4,"경기도 고양시 일산서구 후곡로 10 904동 106호(일산동, 후곡마을롯데9단지아파트)",031-814-3870,,3,0,4,N,,2017-02-24
현대홈타운어린이집,경기도,고양시 일산서구,가정,18,2,"경기도 고양시 일산서구 고양대로 706-12 202동 102호(일산동, 일산현대홈타운2차아파트)",031-922-0747,031-922-0747,4,0,4,N,,2017-02-24
지니어스어린이집,경기도,고양시 일산서구,가정,18,2,"경기도 고양시 일산서구 대화2로 121 604동 103호(대화동, 대화마을휴먼빌6단지아파트)",031-923-3353,031-923-3353,4,0,4,N,,2017-02-24
쁘띠엔젤어린이집,경기도,고양시 일산서구,가정,19,4,"경기도 고양시 일산서구 현중로 64 606동 104호(탄현동, 탄현마을한신6단지아파트)",031-913-1606,031-913-1606,4,0,4,Y,,2017-02-24
동화그림어린이집,경기도,고양시 일산서구,가정,19,4,"경기도 고양시 일산서구 탄현로 93 1004동 102호(탄현동, 탄현마을동문10단지아파트)",031-921-0656,031-921-0656,4,0,4,Y,,2017-02-24
다솜키즈랜드어린이집,경기도,고양시 일산서구,가정,19,6,"경기도 고양시 일산서구 일현로 140 110동 101호(탄현동, 큰마을현대대림1단지아파트)",031-814-7959,031-814-7959,5,0,5,Y,,2017-02-24
강선아이숲어린이집,경기도,고양시 일산서구,가정,19,3,"경기도 고양시 일산서구 강선로 70 804-101(주엽동, 강선마을8단지아파트)",070-7572-9654,,3,0,4,N,,2017-02-24
건영튼튼영아어린이집,경기도,고양시 일산서구,가정,19,5,"경기도 고양시 일산서구 현중로 61 505동 101호(탄현동, 탄현마을건영5단지아파트)",031-918-8900,,3,0,4,N,,2017-02-24
키즈앤빅스맘어린이집,경기도,고양시 일산서구,가정,19,7,"경기도 고양시 일산서구 대산로 183 605동 103호(주엽동,문촌마을)",031-919-4790,,3,0,4,N,,2017-02-24
에코빌i어린이집,경기도,고양시 일산서구,가정,19,6,"경기도 고양시 일산서구 주엽로 161 803동 101호(주엽동, 문촌마을8단지)",031-913-3838,031-913-3808,4,0,4,N,,2017-02-24
호두나무발도르프어린이집,경기도,고양시 일산서구,부모협동,19,4,"경기도 고양시 일산서구 강성로 62 903동 101호(주엽동,강선마을9단지아파트)",031-911-0021,,3,0,0,N,,2017-02-24
엄마품 어린이집,경기도,고양시 일산서구,가정,19,3,"경기도 고양시 일산서구 강선로 70 810동 103호(주엽동, 강선마을럭키8단지아파트)",031-912-6192,031-912-6192,3,0,4,N,,2017-02-24
샘물영아어린이집,경기도,고양시 일산서구,가정,19,3,"경기도 고양시 일산서구 호수로 710 1701동 102호(주엽동, 강선마을17단지아파트)",031-815-6204,,3,0,4,N,,2017-02-24
사랑가득어린이집,경기도,고양시 일산서구,가정,19,3,"경기도 고양시 일산서구 호수로 710 1703동 104호(주엽동, 강선마을17단지아파트)",070-8264-1370,,3,0,4,N,,2017-02-24
아이조은 어린이집,경기도,고양시 일산서구,가정,18,4,경기도 고양시 일산서구 성저로46번길 19 (대화동),031-914-8770,,2,0,3,Y,,2017-02-24
햇살누리어린이집,경기도,고양시 일산동구,가정,18,5,"경기도 고양시 일산동구 숲속마을1로 115 802동 104호(풍동, 숲속마을8단지아파트)",031-811-1589,070-8241-6671,3,0,4,N,,2017-02-24
풍동꿈사랑어린이집,경기도,고양시 일산동구,가정,18,3,"경기도 고양시 일산동구 은행마을로 16 101동 105호(풍동, 은행마을1단지아파트)",031-904-9706,,3,1,3,N,,2017-02-24
솔숲어린이집,경기도,고양시 덕양구,민간,35,7,"경기도 고양시 덕양구 신원로 35 (신원동,삼송힐스테이트 내)",02-381-1279,02-381-1279,4,0,6,Y,,2017-02-24
아이엠어린이집,경기도,고양시 일산서구,직장,35,12,경기도 고양시 일산서구 탄중로233번길 25 양우프라자 205호 (탄현동),031-818-2136,031-922-2136,5,0,6,Y,http://cafe.daum.net/funimchild,2017-02-24
위드빅스맘어린이집,경기도,고양시 일산서구,민간,35,6,경기도 고양시 일산서구 일청로65번길 38 (일산동),031-919-0522,050-765-6130,4,0,6,N,http://blog.naver.com/3with3,2017-02-24
어린왕자어린이집,경기도,고양시 일산서구,민간,35,3,경기도 고양시 일산서구 가좌3로 45 가좌마을2단지 관리동,031-925-7975,031-925-7974,1,0,4,Y,,2017-02-24
토토빌어린이집,경기도,고양시 덕양구,가정,20,5,"경기도 고양시 덕양구 도래울로 85 212동101호(도내동,엘에이치원흥도래울마을2단지)",031-819-6380,,3,0,4,N,,2017-02-24
영아어린이집,경기도,고양시 덕양구,가정,20,7,"경기도 고양시 덕양구 도래울로 16 617동 101호(도내동,원흥도래울마을)",031-962-8962,031-962-8964,3,0,4,N,,2017-02-24
삼송코코어린이집,경기도,고양시 덕양구,가정,20,6,"경기도 고양시 덕양구 동세로 125 1508동 101호(원흥동,삼송계룡리슈빌)",031-964-3636,031-964-3636,3,0,4,N,http://cafe.naver.com/cocochild,2017-02-24
도래울영아어린이집,경기도,고양시 덕양구,가정,20,5,"경기도 고양시 덕양구 도래울로 16 616동 101호(도내동,원흥도래울마을)",031-818-2260,031-818-2260,3,0,4,N,,2017-02-24
꿈나라어린이집,경기도,고양시 덕양구,가정,20,5,"경기도 고양시 덕양구 도래울로 16 615동 101호(도내동, 원흥도래울마을)",031-903-5197,031-903-5197,3,0,4,N,http://cafe.naver.com/ggooomnara,2017-02-24
중산꼬마숲어린이집,경기도,고양시 일산동구,가정,17,4,"경기도 고양시 일산동구 고봉로 422 205동 103호(중산동, 중산마을2단지)",031-976-5658,031-976-5658,3,0,4,N,http://www.littleforest.co.kr/home/jungsan,2017-02-24
꿈자람어린이집,경기도,고양시 일산동구,가정,17,4,"경기도 고양시 일산동구 은행마을로 62 205동 101호(식사동, 은행마을동문2단지아파트)",031-969-3335,,3,0,4,N,,2017-02-24
리틀평화어린이집,경기도,고양시 일산동구,가정,17,5,"경기도 고양시 일산동구 강촌로 114 506동 105호(백석동, 백송마을삼호풍림5단지아파트)",031-902-2552,,3,0,4,N,,2017-02-24
한솔아이어린이집,경기도,고양시 일산서구,가정,19,4,경기도 고양시 일산서구 킨텍스로 456 105동 104호(일산동 후곡마을),031-819-8595,031-819-8595,3,0,4,N,,2017-02-24
초코어린이집,경기도,고양시 일산서구,가정,19,3,"경기도 고양시 일산서구 일산로 487 1811동 102호(일산동, 후곡마을18단지아파트)",031-812-5528,031-813-5586,3,0,4,N,http://cafe.naver.com/wooreebaby9573,2017-02-24
애플트리어린이집,경기도,고양시 일산서구,가정,19,4,"경기도 고양시 일산서구 일산로 612 608동 103호(일산동, 후곡마을동부6단지아파트)",031-911-3196,031-815-6399,4,0,4,Y,,2017-02-24
사랑샘어린이집,경기도,고양시 일산서구,가정,19,6,"경기도 고양시 일산서구 킨텍스로 410 710동 103호(일산동, 후곡마을동성7단지아파트)",031-918-0334,031-918-0334,3,0,4,N,http://cyworld.nate.com/love_ssem,2017-02-24
성원어린이집,경기도,고양시 덕양구,민간,53,11,경기도 고양시 덕양구 소만로 19 소만마을6단지 내 관리소 1층 (행신동),031-974-9754,031-974-9754,1,1,9,Y,,2017-02-24
재단법인 신생어린이집,경기도,고양시 덕양구,법인·단체,60,7,경기도 고양시 덕양구 덕은로 20 (덕은동),02-3158-5053,02-3158-5053,5,1,8,Y,,2017-02-24
아이숲어린이집,경기도,고양시 덕양구,민간,58,12,"경기도 고양시 덕양구 신원로 55 (신원동,신원마을5단지 우림필유아파트 관리사무실 내)",02-381-2585,,4,1,6,N,,2017-02-24
별생각어린이집,경기도,고양시 덕양구,민간,57,9,경기도 고양시 덕양구 보광로50번길 33,031-962-9096,031-962-9094,6,1,7,Y,,2017-02-24
아라kids어린이집,경기도,고양시 일산동구,민간,57,8,경기도 고양시 일산동구 위시티4로 79 커뮤니티센터 (식사동),031-965-0016,031-965-0017,4,1,4,N,,2017-02-24
성모어린이집,경기도,고양시 일산서구,국공립,56,10,경기도 고양시 일산서구 고양대로 654 일산종합사회복지관 1층,031-975-3313,031-975-3301,1,1,11,N,http://club.cyworld.com/smilsan,2017-02-24
아이린어린이집,경기도,고양시 일산동구,민간,56,6,경기도 고양시 일산동구 위시티4로 45 위시티 일산 자이 4단지 내 관리동 (식사동),031-967-7807,,5,2,8,Y,,2017-02-24
강선문화어린이집,경기도,고양시 일산서구,민간,55,6,경기도 고양시 일산서구 대산로 102 강선마을 1단지 내,031-914-1528,032-232-0002,5,1,8,Y,,2017-02-24
해나무어린이집,경기도,고양시 일산동구,민간,54,9,"경기도 고양시 일산동구 위시티4로 46 일산자이 2단지 관리동 1층(식사동,위시티 일산자이2단지)",031-967-7925,031-967-7925,5,1,9,N,,2017-02-24
꿈틀어린이집,경기도,고양시 일산동구,민간,54,9,경기도 고양시 일산동구 위시티1로 7 커뮤니티센터 (식사동),031-965-0089,,4,0,8,N,,2017-02-24
원흥푸르미어린이집,경기도,고양시 덕양구,민간,53,10,경기도 고양시 덕양구 도내로 31,031-962-3307,,6,1,8,N,,2017-02-24
삐아제아이세상어린이집,경기도,고양시 덕양구,민간,34,6,경기도 고양시 덕양구 지도로92번길 13-22,031-969-0651,,4,0,5,Y,,2017-02-24
늘사랑어린이집,경기도,고양시 덕양구,민간,34,6,"경기도 고양시 덕양구 충장로123번길 26 관리동 1층(행신동, 샘터마을3단지아파트)",031-972-2474,,4,0,5,Y,http://cafe.daum.net/allsarang2,2017-02-24
동양아트어린이집,경기도,고양시 일산서구,민간,34,5,경기도 고양시 일산서구 고양대로 631 108동 104호(동양메이져아파트),031-924-8552,031-924-8553,3,0,6,Y,,2017-02-24
예쁜어린이집,경기도,고양시 덕양구,민간,33,7,경기도 고양시 덕양구 마상로113번길 35 1층(주교동),031-964-6798,,2,0,4,Y,,2017-02-24
원당어린이집,경기도,고양시 덕양구,국공립,32,6,경기도 고양시 덕양구 호국로716번길 13-11,031-965-8270,031-966-4009,3,0,5,Y,,2017-02-24
우림어린이집,경기도,고양시 덕양구,민간,32,5,경기도 고양시 덕양구 호국로834번길 20 (주교동),031-964-4132,031-964-4132,4,0,5,Y,,2017-02-24
중산어린이집,경기도,고양시 일산동구,민간,32,6,경기도 고양시 일산동구 탄중로 343 중산마을5단지 내 관리동,031-975-0138,031-975-0138,3,0,5,Y,http://cafe.daum.net/jscnicni,2017-02-24
꿈의정원어린이집,경기도,고양시 덕양구,민간,31,8,"경기도 고양시 덕양구 토당로32번길 11 (토당동 , 능곡대림아파트)",031-978-8181,,3,0,5,Y,,2017-02-24
예은사랑어린이집,경기도,고양시 덕양구,민간,31,6,경기도 고양시 덕양구 마상로 160 (성사동),031-966-0901,031-968-0092,3,0,4,Y,http://cafe.naver.com/yeiunloveland.cafe,2017-02-24
문촌9사회복지관어린이집,경기도,고양시 일산서구,국공립,31,8,"경기도 고양시 일산서구 주엽로 156 (주엽동,문촌마을9단지 내_문촌9사회복지관)",031-917-1003,031-917-1034,3,0,4,N,,2017-02-24
산들어린이집,경기도,고양시 일산동구,민간,31,8,경기도 고양시 일산동구 고봉로278번길 29 산들마을2단지관리동 산들어린이집,031-925-2760,,1,0,3,Y,,2017-02-24
아이토리어린이집,경기도,고양시 일산서구,민간,30,3,경기도 고양시 일산서구 현중로 10 (탄현마을 16단지 아파트 내),031-923-3885,031-923-3885,5,0,5,Y,,2017-02-24
능곡현대천사어린이집,경기도,고양시 덕양구,민간,29,7,"경기도 고양시 덕양구 능곡로 30-12 105동 102호(토당동, 현대홈타운1차아파트)",031-974-6004,031-978-6004,4,0,4,N,http://cafe.naver.com/angelstory55,2017-02-24
높푸른어린이집,경기도,고양시 일산서구,민간,53,9,경기도 고양시 일산서구 원일로21번길 22 일신건영아파트 관리동1층,031-921-5279,031-922-5279,6,1,9,Y,,2017-02-24
고양시립원흥어린이집,경기도,고양시 덕양구,국공립,50,11,경기도 고양시 덕양구 삼원로 102 원흥도래울마을 1단지 내 고양시립원흥어린이집,031-968-0980,031-967-0980,5,0,12,N,,2017-02-24
공동육아도토리어린이집,경기도,고양시 덕양구,부모협동,49,9,경기도 고양시 덕양구 흥도로178번길 103-14,031-967-3480,,1,0,0,N,,2017-02-24
크라운어린이집,경기도,고양시 덕양구,민간,49,9,"경기도 고양시 덕양구 도래울로 86 (도내동,엘에이치원흥도래울마을 3단지내 보육시설)",031-962-3217,,4,0,8,N,,2017-02-24
푸른무지개어린이집,경기도,고양시 덕양구,민간,49,8,경기도 고양시 덕양구 지도로104번길 33 (토당동),031-971-0955,031-970-0955,5,1,7,N,,2017-02-24
청림어린이집,경기도,고양시 덕양구,민간,49,7,경기도 고양시 덕양구 지도로13번길 20-24  청림어린이집,031-973-0260,,1,0,7,N,,2017-02-24
은성키즈 어린이집,경기도,고양시 덕양구,민간,49,11,경기도 고양시 덕양구 행신로143번길 54-8 SK2차아파트 단지 내 (행신동),031-938-3317,031-938-3316,1,0,12,Y,,2017-02-24
해나래어린이집,경기도,고양시 덕양구,민간,49,9,경기도 고양시 덕양구 신도길 17-5 (삼송동),02-381-0618,02-381-0618,6,0,6,Y,http://cafe.daum.net/HaeNaRea2015,2017-02-24
삼송어린이집,경기도,고양시 덕양구,민간,49,7,경기도 고양시 덕양구 삼송로205번길 32,02-381-6859,02-381-8356,4,1,8,Y,,2017-02-24
삼송산새어린이집,경기도,고양시 덕양구,민간,49,12,경기도 고양시 덕양구 삼송로136번길 60 (삼송동),02-381-6512,,3,0,7,Y,,2017-02-24
사랑담은어린이집,경기도,고양시 일산서구,가정,19,3,"경기도 고양시 일산서구 일산로 487 1812동 106호(일산동, 후곡마을 18단지)",031-912-8865,,3,0,4,N,,2017-02-24
그루터기어린이집,경기도,고양시 일산서구,가정,19,5,"경기도 고양시 일산서구 강선로 137 1608동 104호(일산동, 후곡마을코오롱16단지아파트)",031-918-4880,031-918-4880,1,0,4,N,,2017-02-24
