시군명,시설명,전화번호,홈페이지주소,팩스번호,설립구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
가평군,대성초등학교병설유치원,031-584-0794,http://www.kgds.es.kr,031-584-9226,공립,12457,경기도 가평군 청평면 대성리 399-16번지 대성초등학교,경기도 가평군 청평면 경춘로 75,127.3775632,37.6827196
가평군,가평유치원,031-582-4982,http://www.gapyeong.kg.kr,031-582-4983,공립,12417,경기도 가평군 가평읍 읍내리 553번지 가평유치원 가평유치원,경기도 가평군 가평읍 향교로 23-3,127.5075514,37.8304855
가평군,가평마장초등학교병설유치원,031-581-2755,http://www.kpmajang.es.kr,031-582-2757,공립,12409,경기도 가평군 가평읍 마장리 357번지 마장초등학교,경기도 가평군 가평읍 각담말길 15,127.5144681,37.8599522
고양시,고양백석초등학교병설유치원,031-901-4231,http://kybs.es.kr,031-901-4244,공립,10419,경기도 고양시 일산동구 백석동 1188번지 백송마을,경기도 고양시 일산동구 강촌로 140,126.7891307,37.6517945
고양시,아이사랑유치원,031-979-2031,,031-979-2030,사립,10501,경기도 고양시 덕양구 화정동 946번지 문정빌딩,경기도 고양시 덕양구 화신로 319,126.8262652,37.6325211
고양시,덕은초등학교병설유치원,02-3158-3321,http://www.deokun.es.kr,02-3159-9148,공립,10538,경기도 고양시 덕양구 화전동 274-6번지 덕은초등학교병설유치원,경기도 고양시 덕양구 중앙로176번길 18-4,126.8712582,37.6033072
고양시,엔젤숲유치원,02-371-0098,http://www.angelsoop.co.kr,02-371-0097,사립,10584,경기도 고양시 덕양구 지축동 418-7번지,경기도 고양시 덕양구 일영로 116-7,126.9212539,37.6565818
고양시,신원초등학교병설유치원,02-371-0205,http://www.sinwone.es.kr,02-381-5172,공립,10567,경기도 고양시 덕양구 신원동 601번지,경기도 고양시 덕양구 신원3로 21,126.8858336,37.667742
고양시,숲소리유치원,02-371-0300,http://www.soupsori.com,02-317-0337,사립,10584,경기도 고양시 덕양구 지축동 595-7번지,경기도 고양시 덕양구 일영로 146-1,126.9200605,37.6596623
고양시,국방대학원유치원,02-372-3114,http://cafe.daum.net/kinder3114,02-372-3124,사립,10544,경기도 고양시 덕양구 덕은동 257-1번지 국방대학교단지아파트,,126.8726457,37.5803878
고양시,고양동산초등학교병설유치원,02-381-1980,http://www.gydongsan.es.kr,02-381-2251,공립,10597,경기도 고양시 덕양구 동산동 359번지 고양동산초등학교병설유치원,경기도 고양시 덕양구 동세로 32,126.8865358,37.6462997
고양시,다진유치원,02-381-5556,http://cafe.daum.net/dajin2014,02-381-5557,사립,10574,경기도 고양시 덕양구 오금동 386-6번지,경기도 고양시 덕양구 큰골길 13,126.8948707,37.6651288
고양시,지축초등학교병설유치원,02-381-7159,http://www.chichuk.es.kr,02-381-7725,공립,10583,경기도 고양시 덕양구 지축동 654-1번지,경기도 고양시 덕양구 지축초교길 45,126.9142787,37.6517746
고양시,용두초등학교병설유치원,02-387-1055,http://www.yongdoo.es.kr,02-354-5504,공립,10549,경기도 고양시 덕양구 용두동 14번지 용두초등학교 용두초등학교병설유치원,경기도 고양시 덕양구 용두로121번길 20,126.893201,37.6214122
고양시,홍익유치원,02-914-0257,,031-914-0258,사립,10240,경기도 고양시 일산서구 탄현동 1476번지 탄현마을,경기도 고양시 일산서구 일현로 128,126.7669085,37.6985121
고양시,성바오로유치원,02-938-0922,,031-938-0924,사립,10492,경기도 고양시 덕양구 행신동 208-15번지,경기도 고양시 덕양구 중앙로468번길 69,126.8444026,37.6218613
고양시,큰솔유치원,02-965-1870,,031-965-0141,사립,10453,경기도 고양시 일산동구 산황동 636-2번지,경기도 고양시 일산동구 산황로 178-74,126.8067634,37.6515998
고양시,별빛유치원,031-971-6630,,031-971-6632,사립,10501,경기도 고양시 덕양구 화정동 952번지 별빛마을,경기도 고양시 덕양구 화신로 284,126.8284869,37.6319928
고양시,별모래유치원,031-3974-1471,http://www.star.kg.kr,031-964-6749,사립,10465,경기도 고양시 덕양구 성사동 421-8번지,경기도 고양시 덕양구 마상로 200-1,126.8438426,37.6561064
고양시,배화유치원,031-974-0880,http://www.baewha.co.kr,031-972-9924,사립,10508,경기도 고양시 덕양구 토당동 55-3번지,경기도 고양시 덕양구 토당로104번길 31,126.819148,37.6243834
고양시,바움유치원,031-965-8550,,031-966-3522,사립,10468,경기도 고양시 덕양구 성사동 725-1번지,경기도 고양시 덕양구 호국로742번길 57,126.8359517,37.6525998
고양시,바른유치원,031-914-4368,,032-232-0002,사립,10371,경기도 고양시 일산서구 일산동 1055번지 후곡마을,경기도 고양시 일산서구 킨텍스로 410,126.7598487,37.6798209
고양시,미래유치원,031-964-2550,,031-964-2549,사립,10462,경기도 고양시 덕양구 주교동 621-1번지 정원유치원,경기도 고양시 덕양구 마상로 142,126.8383173,37.658991
고양시,문촌유치원,031-915-7800,,031-915-7850,사립,10371,경기도 고양시 일산서구 주엽동 1번지 문촌마을,경기도 고양시 일산서구 대산로 176,126.7585738,37.6779622
고양시,문촌사랑유치원,031-913-4637,,031-913-4638,사립,10384,경기도 고양시 일산서구 주엽동 126번지 문촌마을,경기도 고양시 일산서구 킨텍스로 284,126.7528545,37.6696524
고양시,무지개유치원,031-972-0930,,031-972-0930,사립,10517,경기도 고양시 덕양구 행신동 633-11번지,경기도 고양시 덕양구 행신로143번길 44,126.8314572,37.6211675
고양시,명문유치원,031-912-3904,http://cafe.daum.net/mm3904,031-924-3905,사립,10361,경기도 고양시 일산서구 주엽동 49번지 강선마을,경기도 고양시 일산서구 강선로 96,126.7676515,37.6714938
고양시,리빙스턴유치원,031-964-5309,,031-964-5379,사립,10481,경기도 고양시 덕양구 성사동 108-3번지 주님유치원,경기도 고양시 덕양구 도내로 13-40,126.8488115,37.6260837
고양시,로뎀유치원,031-971-5533,http://cafe.daum.net/hangsinrodem,031-971-5538,사립,10528,경기도 고양시 덕양구 행신동 773번지 무원마을1단지,경기도 고양시 덕양구 화신로 47,126.8375938,37.617248
고양시,둥지유치원,031-964-1671,,031-964-8472,사립,10498,경기도 고양시 덕양구 화정동 961번지 은빛마을11단지,경기도 고양시 덕양구 백양로 126,126.8357633,37.6355532
고양시,동산유치원,031-913-2201,http://www.dskids.net,031-913-2202,사립,10385,경기도 고양시 일산서구 주엽동 117번지 문촌마을,경기도 고양시 일산서구 주엽로 122,126.7586599,37.6689888
고양시,도담유치원,031-919-7979,,031-919-1927,사립,10239,"경기도 고양시 일산서구 탄현동 121번지 큰마을대림,현대아파트",,126.7649848,37.7008508
고양시,단비유치원,031-973-1148,,031-973-1149,사립,10515,경기도 고양시 덕양구 토당동 873번지 장미아파트,경기도 고양시 덕양구 행당로11번길 25-6,126.8261557,37.6213308
고양시,다솜유치원,031-904-2297,http://www.ilsandasom.kg.kr,031-904-2291,사립,10415,경기도 고양시 일산동구 마두동 796번지 강촌마을,경기도 고양시 일산동구 강석로 156,126.7789583,37.6543794
고양시,한미유치원,031-975-6567,http://www.hanmiu.cc,031-975-2111,사립,10353,경기도 고양시 일산서구 일산동 631-1번지,경기도 고양시 일산서구 고양대로 686-8,126.7717629,37.6834577
고양시,한나래유치원,031-929-9510,http://hanarae.com,031-929-9508,사립,10231,경기도 고양시 일산서구 덕이동 329번지 거룩한빛 광성교회 교육관 가동,경기도 고양시 일산서구 하이파크로 161,126.7577639,37.70362
고양시,하늘유치원,031-932-5950,http://www.skysky.co.kr,031-932-9123,사립,10307,경기도 고양시 일산동구 풍동 1290번지 하늘유치원,경기도 고양시 일산동구 숲속마을1로 29-12,126.7982079,37.6639916
고양시,푸른하늘유치원,031-977-0155,,031-977-0158,사립,10336,경기도 고양시 일산동구 중산동 1556번지 중산마을,경기도 고양시 일산동구 고봉로 422,126.7786775,37.6950124
고양시,푸른무지개유치원,031-927-7112,,031-970-0955,사립,10511,경기도 고양시 덕양구 토당동 849번지 무지개유치원,경기도 고양시 덕양구 지도로104번길 42,126.8259848,37.6265202
고양시,푸르니유치원,031-922-2214,http://pkid.puruni.com,031-922-2352,사립,10362,경기도 고양시 일산동구 정발산동 699번지 푸르니일산유치원,경기도 고양시 일산동구 무궁화로93번길 26,126.7726293,37.667242
고양시,파랑새유치원,031-913-6683,http://www.parangsae-i.com,031-913-6684,사립,10375,경기도 고양시 일산서구 일산동 1058번지 후곡마을,경기도 고양시 일산서구 후곡로 10,126.7643787,37.6776588
고양시,탄현유치원,031-915-6332,http://www.tanhyun.co.kr,031-915-6334,사립,10240,경기도 고양시 일산서구 탄현동 1479번지 탄현마을,경기도 고양시 일산서구 현중로 64,126.7684002,37.696515
고양시,코끼리유치원,031-978-0997,http://www.kokiri97.com,031-938-0399,사립,10493,경기도 고양시 덕양구 행신동 219번지,경기도 고양시 덕양구 행신로325번길 20,126.8453154,37.6240789
고양시,초롱유치원,031-923-6663,,031-923-6660,사립,10208,경기도 고양시 일산서구 가좌동 157-5번지 초롱유치원,경기도 고양시 일산서구 송포로 292-24,126.7269049,37.6893797
고양시,청림유치원,031-973-0260,http://www.chunglim.kidswon.kr,031-970-7827,사립,10510,경기도 고양시 덕양구 토당동 863-7번지 호은상가,경기도 고양시 덕양구 지도로13번길 20-24,126.8236789,37.6197504
고양시,짐랜드유치원,031-979-7333,http://cafe.daum.net/gympreschool,031-979-7323,사립,10494,경기도 고양시 덕양구 행신동 936번지 능곡중앙교육센타,경기도 고양시 덕양구 충장로152번길 59,126.8385409,37.624358
고양시,진세유치원,031-966-2180,,031-966-2683,사립,10469,경기도 고양시 덕양구 성사동 730번지 신원당마을,경기도 고양시 덕양구 고양대로1384번길 60,126.8357272,37.6516354
고양시,준성자연유치원,031-962-8222,,031-963-8776,사립,10287,경기도 고양시 덕양구 관산동 246-3번지 준성아파트,,126.8616761,37.6879873
고양시,좋은나무유치원,031-969-5123,,031-969-5134,사립,10290,경기도 고양시 덕양구 원당동 644번지,경기도 고양시 덕양구 원당로393번길 21,126.8483196,37.6830963
고양시,제니스유치원,031-917-6199,,,사립,10242,경기도 고양시 일산서구 탄현동 142-60번지,경기도 고양시 일산서구 일현로 89,126.7643804,37.6948492
고양시,자연유치원,031-913-0141,,031-913-0142,사립,10243,경기도 고양시 일산서구 탄현동 1477번지 탄현마을,경기도 고양시 일산서구 현중로 61,126.7661227,37.6960149
고양시,일산유치원,031-964-0919,,031-964-5775,사립,10304,경기도 고양시 일산동구 식사동 937-8번지,경기도 고양시 일산동구 은행마을로 46-33,126.8066209,37.6670152
고양시,인혜유치원,031-917-6701,,031-919-3475,사립,10360,경기도 고양시 일산서구 주엽동 38번지 강선마을,경기도 고양시 일산서구 강선로 118,126.7689943,37.6734065
고양시,인선유치원,031-917-8814,,031-917-8815,사립,10375,경기도 고양시 일산서구 일산동 1086번지 후곡마을,경기도 고양시 일산서구 강선로 141,126.7675117,37.6762956
고양시,이튼유치원,031-908-8771,http://etonschool.kr,031-908-8820,사립,10446,경기도 고양시 일산동구 백석동 1270번지,경기도 고양시 일산동구 백석로72번길 31-18,126.7879564,37.6464135
고양시,이삭유치원,031-973-9433,,031-973-9334,사립,10494,경기도 고양시 덕양구 행신동 953번지 햇빛마을,경기도 고양시 덕양구 화신로 105,126.8390428,37.622773
고양시,은지유치원,031-902-2036,,031-902-2038,사립,10416,경기도 고양시 일산동구 마두동 783번지 강촌마을,경기도 고양시 일산동구 강송로 156,126.7857617,37.6529956
고양시,은정유치원,031-902-0011,,031-902-0013,사립,10419,경기도 고양시 일산동구 백석동 1183번지 백송마을,경기도 고양시 일산동구 백석로 103,126.7884004,37.6496038
고양시,은선유치원,031-902-3292,http://www.eunsun.net,031-9022-3295,사립,10423,경기도 고양시 일산동구 장항동 881번지 호수마을,경기도 고양시 일산동구 노루목로 100,126.7778211,37.6482146
고양시,유진유치원,031-924-0006,http://www.yujinkid.co.kr,031-924-3080,사립,10358,경기도 고양시 일산동구 정발산동 1243번지,경기도 고양시 일산동구 산두로201번길 23,126.7813714,37.6736826
고양시,유경유치원,031-967-8393,http://www.yukyung.co.kr,031-967-8398,사립,10473,경기도 고양시 덕양구 화정동 851번지 달빛마을,경기도 고양시 덕양구 화중로 220,126.836566,37.6464651
고양시,예지슬유치원,031-927-9987,,031-927-9986,사립,10228,경기도 고양시 일산서구 덕이동 774번지,경기도 고양시 일산서구 장자길 74,126.7451056,37.698016
고양시,예은유치원,031-917-6742,,031-917-6743,사립,10377,경기도 고양시 일산서구 대화동 2167번지,경기도 고양시 일산서구 강성로214번길 41-4,126.7540441,37.6766013
고양시,예솔유치원,031-902-7526,http://yesol2kidwon.com,031-902-7528,사립,10424,경기도 고양시 일산동구 백석동 1436번지,경기도 고양시 일산동구 호수로430번길 37,126.7806537,37.6444629
고양시,예쁜나유치원,031-971-9797,http://prettyna.kid.ph,,사립,10499,경기도 고양시 덕양구 화정동 988번지 옥빛마을12단지,경기도 고양시 덕양구 백양로 84,126.8348169,37.6332183
고양시,예담유치원,031-913-3602,,031-913-3602,사립,10360,경기도 고양시 일산서구 일산동 1087번지 후곡마을,경기도 고양시 일산서구 강선로 142,126.7702923,37.6751839
고양시,연세유치원,031-915-8621,,031-915-8622,사립,10249,경기도 고양시 일산서구 탄현동 1480번지 탄현마을,경기도 고양시 일산서구 탄현로 64,126.7702911,37.6973746
고양시,연꽃유치원,031-6331-1288,,031-965-4958,사립,10466,경기도 고양시 덕양구 성사동 488-5번지 연꽃유치원(원당사대.불.조),경기도 고양시 덕양구 마상로 175-6,126.8420601,37.6576357
고양시,엔젤유치원,031-979-0633,,031-973-0634,사립,10508,경기도 고양시 덕양구 토당동 85-2번지 신현빌딩,경기도 고양시 덕양구 지도로103번길 31-6,126.8215916,37.6256936
고양시,엄지유치원,031-970-7416,http://umjikids.net,031-970-7418,사립,10525,경기도 고양시 덕양구 행신동 754번지,경기도 고양시 덕양구 용현로35번길 8-16,126.8355113,37.6165513
고양시,흰돌유치원,031-902-1940,,031-902-1946,사립,10448,경기도 고양시 일산동구 백석동 1344번지 흰돌마을,경기도 고양시 일산동구 일산로 11,126.7837915,37.6408829
고양시,호수유치원,031-970-2560,http://www.hosu.kg.kr,031-973-3273,사립,10522,경기도 고양시 덕양구 행신동 702번지 무원마을,경기도 고양시 덕양구 소원로 47,126.8309313,37.6134454
고양시,현대유치원,031-962-8928,http://cafe.daum.net/hyundaikids,031-964-6712,사립,10264,경기도 고양시 덕양구 내유동 436-28번지,경기도 고양시 덕양구 통일로1154번길 16-9,126.8509263,37.7167597
고양시,햇빛유치원,031-905-0363,http://hatbit.kg.kr,031-905-8034,사립,10416,경기도 고양시 일산동구 마두동 739번지 백마마을,경기도 고양시 일산동구 일산로 205,126.7882971,37.6539913
고양시,햇님유치원,031-902-9795,,031-905-0736,사립,10418,경기도 고양시 일산동구 백석동 1139번지 백송마을,경기도 고양시 일산동구 백석로 151,126.7929047,37.651603
고양시,해달별유치원,031-978-6669,http://cafe.naver.com/sunmoonstarforkids,031-978-6668,사립,10441,경기도 고양시 덕양구 강매동 113번지,경기도 고양시 덕양구 강매로 229,126.8435379,37.6077509
고양시,한울유치원,031-964-6705,,031-969-2089,사립,10286,경기도 고양시 덕양구 관산동 113-3번지 한울유치원,경기도 고양시 덕양구 통일로770번길 58,126.8653112,37.690235
고양시,한솔유치원,031-903-5335,http://hansol5335.co.kr,031-903-5336,사립,10419,경기도 고양시 일산동구 백석동 1186번지 백송마을,경기도 고양시 일산동구 백석로 119,126.7907883,37.6506893
고양시,어울림유치원,031-964-1007,http://aullim.happyihome.com,031-964-1006,사립,10469,경기도 고양시 덕양구 성사동 731번지 신원당마을,경기도 고양시 덕양구 호국로742번길 34,126.834458,37.6516877
고양시,안젤라유치원,031-906-3004,http://www.angela.kg.kr,031-906-5004,사립,10410,경기도 고양시 일산동구 마두동 991번지 안젤라유치원,경기도 고양시 일산동구 강송로225번길 39,126.7791533,37.65738
고양시,아이젠유치원,031-978-1077,http://igenstar.kidwon.com,031-978-1076,사립,10506,경기도 고양시 덕양구 토당동 259번지 대림아파트,경기도 고양시 덕양구 토당로 123,126.8164015,37.6264694
고양시,아이비유치원,031-971-6007,,031-972-2007,사립,10535,경기도 고양시 덕양구 행신동 1111번지 아이비에듀파크,경기도 고양시 덕양구 소원로266번길 2-1,126.8514745,37.6144736
고양시,아리솔유치원,031-977-5111,http://arisolschool.kr,031-977-5113,사립,10319,경기도 고양시 일산동구 중산동 13-12번지,경기도 고양시 일산동구 약산길 45-1,126.7918889,37.682198
고양시,아란유치원,031-913-0587,http://www.arankids.com,031-913-9987,사립,10360,경기도 고양시 일산서구 주엽동 38번지 강선마을,경기도 고양시 일산서구 강선로 116,126.7689943,37.6734065
고양시,숲속유치원,031-968-1777,http://cafe.daum.net/supsokid,031-968-6691,사립,10554,경기도 고양시 덕양구 도내동 839-8번지,경기도 고양시 덕양구 흥도로 240,126.8577568,37.6280231
고양시,솔거유치원,031-969-0101,,031-969-0102,사립,10496,경기도 고양시 덕양구 화정동 936번지 은빛마을6단지,경기도 고양시 덕양구 화정로 27,126.8293142,37.6367151
고양시,세화유치원,031-911-3335,,031-911-3337,사립,10378,경기도 고양시 일산서구 주엽동 8번지 문촌마을,경기도 고양시 일산서구 대산로 183,126.7573554,37.6762118
고양시,성저유치원,031-916-4580,,031-916-4588,사립,10376,경기도 고양시 일산서구 대화동 2212번지 성저마을,경기도 고양시 일산서구 대산로 251,126.7506012,37.6790446
고양시,성실유치원,031-963-5414,http://sungsil.co.kr,031-963-5885,사립,10273,경기도 고양시 덕양구 고양동 407-15번지 성실유치원,경기도 고양시 덕양구 동헌로 387,126.8951162,37.7069879
고양시,성모유치원,031-975-2279,,031-977-4881,사립,10348,경기도 고양시 일산서구 일산동 600-47번지 일산천주교회,경기도 고양시 일산서구 원일로 57,126.7690164,37.6880472
고양시,성가정유치원,031-979-4077,,031-979-4079,사립,10526,경기도 고양시 덕양구 행신동 763번지,경기도 고양시 덕양구 용현로5번길 36,126.8349509,37.6139467
고양시,선재유치원,031-913-1057,http://kiztv.net/sunjae,031-624-5356,사립,10240,경기도 고양시 일산서구 탄현동 1481번지 탄현마을,경기도 고양시 일산서구 홀트로 55,126.7698781,37.6952656
고양시,선아유치원,031-913-8568,http://www.sunkids.me,031-913-8569,사립,10385,경기도 고양시 일산서구 주엽동 120번지 문촌마을,경기도 고양시 일산서구 주엽로 98,126.7573278,37.6673823
고양시,샘터한우리유치원,031-978-6057,http://hanuri.kids.co.kr,031-978-6059,사립,10518,"경기도 고양시 덕양구 충장로 118 (행신동,샘터마을)",,,
고양시,상명유치원,031-974-9888,http://cafe.daum.net/smkinder,031-974-4949,사립,10508,경기도 고양시 덕양구 토당동 37-15번지 가동,경기도 고양시 덕양구 능곡로45번길 65,126.8229851,37.6256327
고양시,보보유치원,031-903-3644,http://www.bo-bo.org,031-903-2020,사립,10417,경기도 고양시 일산동구 마두동 717번지 백마마을,경기도 고양시 일산동구 경의로 333,126.7912069,37.6588798
고양시,능곡성당유치원,031-974-4525,,031-974-4528,사립,10508,경기도 고양시 덕양구 토당동 292-39번지,경기도 고양시 덕양구 토당로78번길 7-14,126.8195368,37.6229155
고양시,고양관산초등학교병설유치원,031-969-8453,http://www.gs.es.kr,031-969-8439,공립,10286,경기도 고양시 덕양구 관산동 995번지 관산초등학교,경기도 고양시 덕양구 통일로726번길 130,126.8663398,37.69193
고양시,가좌초등학교병설유치원,031-922-6044,http://가좌초등학교.kr,031-922-6045,공립,10210,경기도 고양시 일산서구 가좌동 1099번지 가좌초등학교,경기도 고양시 일산서구 가좌2로 31,126.7210237,37.6885999
고양시,모심유치원,031-976-6436,,031-976-6437,사립,10337,경기도 고양시 일산동구 중산동 1566번지 중산마을,경기도 고양시 일산동구 탄중로 430,126.7782093,37.6885966
고양시,늘푸른무지개유치원,031-972-7112,,031-970-0955,사립,10511,경기도 고양시 덕양구 토당동 897-4번지 무지개유치원 39,경기도 고양시 덕양구 지도로104번길 39,126.8259275,37.6267994
고양시,노벨유치원,031-904-2966,http://www.nobelkids.co.kr,031-902-4403,사립,10415,경기도 고양시 일산동구 마두동 794번지 강촌마을,경기도 고양시 일산동구 강송로 195,126.7814374,37.655294
고양시,나래유치원,031-963-3579,,031-963-1493,사립,10272,경기도 고양시 덕양구 고양동 8-4번지,경기도 고양시 덕양구 혜음로 85,126.9018963,37.7079849
고양시,꿈자람유치원,031-964-1191,,031-962-1575,사립,10280,경기도 고양시 덕양구 대자동 923-4번지,경기도 고양시 덕양구 무민로 38-53,126.8801126,37.7004592
고양시,꿈나무유치원,031-915-3298,,031-915-3497,사립,10374,경기도 고양시 일산서구 일산동 1069번지 후곡마을3단지아파트 꿈나무유치원,,126.7670994,37.681187
고양시,꼬마드레유치원,031-964-6543,http://cafe.naver.com/kkoma6543,031-968-6545,사립,10296,경기도 고양시 덕양구 주교동 450-7번지 87-104,경기도 고양시 덕양구 마상로57번길 87-104,126.8332049,37.669516
고양시,그네와시소유치원,031-975-0078,,031-975-0079,사립,10338,경기도 고양시 일산동구 중산동 1599번지 39-16,경기도 고양시 일산동구 탄중로425번길 39-16,126.7798161,37.6858247
고양시,해나라유치원,031-911-6168,,031-911-6169,사립,10360,경기도 고양시 일산서구 일산동 1090번지 후곡마을,경기도 고양시 일산서구 일산로 487,126.77246,37.6743503
고양시,경기유치원,031-964-9229,http://www.kgkid.kg.kr,031-962-7114,사립,10282,경기도 고양시 덕양구 대자동 305번지,경기도 고양시 덕양구 통일로542번길 27,126.8894172,37.6813231
고양시,강선예일유치원,031-912-0574,,031-912-0574,사립,10361,경기도 고양시 일산서구 주엽동 63번지 강선마을,경기도 고양시 일산서구 강선로 70,126.7665123,37.6697436
고양시,흥도유치원,031-968-6875,http://heungdo-kg.kengy.go.kr/,031-968-6992,공립,10551,경기도 고양시 덕양구 도내동 1100번지,경기도 고양시 덕양구 도래울1로 83,126.8675117,37.6272509
고양시,황룡초등학교병설유치원,031-915-0291,http://hwangryong.es.kr,031-917-4075,공립,10240,경기도 고양시 일산서구 탄현동 1474번지 황룡초등학교,경기도 고양시 일산서구 탄현로 75,126.7680664,37.6981
고양시,화중초등학교병설유치원,031-967-8361,http://www.hwajoong.es.kr,031-963-8369,공립,10474,경기도 고양시 덕양구 화정동 871번지 화중초등학교병설유치원,경기도 고양시 덕양구 화중로152번길 43,126.8358201,37.6405536
고양시,호곡초등학교병설유치원,031-918-7083,http://hogok.es.kr,031-918-7087,공립,10239,경기도 고양시 일산서구 탄현동 117-1번지 호곡초등학교 호곡초등학교병설유치원,경기도 고양시 일산서구 탄현로 109,126.7668784,37.7008726
고양시,현산초등학교병설유치원,031-917-1448,http://www.hyunsan.es.kr,031-917-1427,공립,10345,경기도 고양시 일산서구 탄현동 1586번지,경기도 고양시 일산서구 산현로 87,126.7711232,37.6923219
고양시,행주초등학교병설유치원,031-979-3045,http://haengju.es.kr,031-970-1798,공립,10440,경기도 고양시 덕양구 행주내동 175번지 행주초등학교,경기도 고양시 덕양구 행주로17번길 70,126.8246818,37.6029397
고양시,행신초등학교병설유치원,031-978-8361,http://www.haengsin.es.kr,031-978-8364,공립,10518,경기도 고양시 덕양구 행신동 983-1번지 행신초등학교 행신초등학교 병설유치원,경기도 고양시 덕양구 중앙로 527,126.8368479,37.6216076
고양시,한산초등학교병설유치원,031-916-8455,http://www.ky-hansan.es.kr,031-916-8456,공립,10236,경기도 고양시 일산서구 덕이동 1614번지 한산초등학교병설유치원,경기도 고양시 일산서구 하이파크1로 56,126.7535726,37.6955656
고양시,한뫼초등학교병설유치원,031-976-7502,http://www.hanmoe.es.kr,031-976-7503,공립,10351,경기도 고양시 일산서구 일산동 960-9번지 한뫼초등학교,경기도 고양시 일산서구 고양대로 629,126.7665729,37.6863755
고양시,한내유치원,031-924-2713,http://www.hnkids.kg.kr,031-924-2714,공립,10222,경기도 고양시 일산서구 대화동 882번지 고양한내초등학교,경기도 고양시 일산서구 고양대로255번길 27,126.7356872,37.6684345
고양시,하늘초등학교병설유치원,031-975-6363,http://haneul.es.kr,031-975-8974,공립,10311,경기도 고양시 일산동구 중산동 1799번지 하늘초등학교 하늘초등학교 병설유치원,경기도 고양시 일산동구 하늘마을1로 46,126.7900441,37.6771583
고양시,풍산초등학교병설유치원,031-908-8479,http://www.풍산초등학교병설유치원.com,031-908-8476,공립,10307,경기도 고양시 일산동구 풍동 1284번지 풍산초등학교,경기도 고양시 일산동구 숲속마을로 51,126.796682,37.6666018
고양시,풍동초등학교병설유치원,031-932-8737,http://www.poongdong.es.kr,031-932-8741,공립,10305,경기도 고양시 일산동구 풍동 1266번지 풍동초등학교,경기도 고양시 일산동구 숲속마을로 14-43,126.8024552,37.6692696
