시군명,구/읍면동명,시설명,전화번호,시설구분명,공사립구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
가평군,조종면,초원KIDS아카데미어린이집,031-584-4424,어린이집,민간,12437,경기도 가평군 조종면 현리 244-14번지,경기도 가평군 조종면 연인산로 19-1,127.3515104,37.8223681
가평군,설악면,청심어린이집,031-589-9900,어린이집,민간,12461,경기도 가평군 설악면 송산리 286번지 청심어린이집,경기도 가평군 설악면 미사리로286번길 16 청심어린이집,127.5230889,37.6846449
가평군,가평읍,예원어린이집,031-581-7292,어린이집,민간,12412,경기도 가평군 가평읍 읍내리 741-5번지,경기도 가평군 가평읍 가화로 202,127.5092846,37.836841
가평군,조종면,에코비어린이집,031-585-4834,어린이집,민간,12437,경기도 가평군 조종면 현리 323-4번지 에코비어린이집,경기도 가평군 조종면 청군로 1300 에코비어린이집,127.3458902,37.8203521
가평군,청평면,아이사랑아트스쿨어린이집,031-585-6968,어린이집,민간,12453,경기도 가평군 청평면 청평리 79-100번지,경기도 가평군 시장중앙로 7  -20,127.4170855,37.7349306
가평군,조종면,세종대왕어린이집,031-585-3420,어린이집,민간,12437,경기도 가평군 조종면 현리 222-11번지,경기도 가평군 조종면 조종새싹로 64,127.3485163,37.8242581
가평군,가평읍,사무엘어린이집,031-582-6623,어린이집,민간,12414,경기도 가평군 가평읍 읍내리 855-8번지,경기도 가평군 가평읍 석봉로191번길 52,127.5040868,37.8322505
가평군,가평읍,두손어린이집,031-582-6336,어린이집,민간,12412,경기도 가평군 가평읍 읍내리 273-7번지,경기도 가평군 가평읍 정간내로19번길 22,127.5144142,37.8334708
가평군,가평읍,금빛어린이집,031-582-1678,어린이집,민간,12422,경기도 가평군 가평읍 달전리 336-3번지,경기도 가평군 가평읍 강산길 25,127.5177686,37.8141145
가평군,조종면,j.j baby school어린이집,031-585-9170,어린이집,민간,12437,경기도 가평군 조종면 현리 253-15번지,경기도 가평군 조종면 연인산로 10,127.350885,37.821732
가평군,청평면,청평새나래어린이집,031-584-5844,어린이집,국공립,12451,경기도 가평군 청평면 청평리 483-23번지 새나래어린이집,경기도 가평군 청평면 갈오현로 21 새나래어린이집,127.4160135,37.7387869
가평군,설악면,설악어린이집,031-584-5687,어린이집,국공립,12467,경기도 가평군 설악면 신천리 156-5번지 설악어린이집,경기도 가평군 설악면 한서로 18-16 설악어린이집,127.4949573,37.675371
가평군,북면,북면어린이집,031-582-8357,어린이집,국공립,12407,경기도 가평군 북면 이곡리 11-6번지,경기도 가평군 북면 석장모루길 10,127.5469962,37.8793656
가평군,청평면,피노키오어린이집,031-584-1551,어린이집,가정,12451,경기도 가평군 청평면 청평리 470-37번지 청구아파트 102동 104호,경기도 가평군 청평면 경춘로 807-18 청구아파트 102동 104호,127.4172936,37.7388509
가평군,가평읍,햇살나무어린이집,031-585-3791,어린이집,가정,12416,경기도 가평군 가평읍 대곡리 402-1번지 선힐아파트 102동 102호,경기도 가평군 가평읍 문화로 63 선힐아파트102동102호,127.5104659,37.8183484
가평군,가평읍,에코비해솔어린이집,031-581-1137,어린이집,가정,12414,경기도 가평군 가평읍 읍내리 771-1번지 파란채아파트 103-105,경기도 가평군 가화로 223 파란채아파트  103-105,127.5063571,37.8379996
가평군,상면,생명의빛어린이집,031-585-6624,어린이집,가정,12444,경기도 가평군 상면 연하리 174-16번지 생명의빛어린이집,경기도 가평군 상면 기와집길 4 생명의빛어린이집,127.3564541,37.8055018
가평군,조종면,쁘띠베베어린이집,031-584-1529,어린이집,가정,12438,경기도 가평군 조종면 현리 311-9번지 쁘띠베베어린이집,경기도 가평군 조종면 청군로 1319 쁘띠베베어린이집,127.344169,37.8214672
가평군,가평읍,라온어린이집,031-585-0677,어린이집,가정,12416,경기도 가평군 가평읍 대곡리 402-1번지 선힐하이뷰 102동 103호,경기도 가평군 가평읍 문화로 63  선힐하이뷰 102동 103호,127.5104659,37.8183484
가평군,설악면,동화마을어린이집,031-584-2511,어린이집,가정,12465,경기도 가평군 설악면 신천리 424번지 에코빌 B동 102호,경기도 가평군 설악면 신천중앙로120번길 20-45 에코빌 B동 102호,127.492835,37.6794415
가평군,가평읍,꼬마별어린이집,031-585-0037,어린이집,가정,12414,경기도 가평군 가평읍 읍내리 771-1번지 에이원파란채 101동 106호,"경기도 가평군 가평읍 가화로 223 101동 106호(읍내리, 에이원파란채)",127.5063571,37.8379996
고양시,성사동,삼성보금자리어린이집,031-962-2984,어린이집,가정,10467,경기도 고양시 덕양구 성사동 860번지 래미안휴레스트아파트 213동 103호,"경기도 고양시 덕양구 호국로 860 213동 103호(성사동, 래미안휴레스트아파트)",126.8422213,37.6612217
고양시,일산동 ,성모유치원,031-975-2279,유치원,사립,10348,경기도 고양시 일산서구 일산동 600-47번지 일산천주교회,경기도 고양시 일산서구 원일로 57,126.7690164,37.6880472
고양시,행신동,성가정유치원,031-979-4077,유치원,사립,10526,경기도 고양시 덕양구 행신동 763번지,경기도 고양시 덕양구 용현로5번길 36,126.8349509,37.6139467
고양시,탄현동 ,선재유치원,031-913-1057,유치원,사립,10240,경기도 고양시 일산서구 탄현동 1481번지 탄현마을,경기도 고양시 일산서구 홀트로 55,126.7698781,37.6952656
고양시,주엽동 ,선아유치원,031-913-8568,유치원,사립,10385,경기도 고양시 일산서구 주엽동 120번지 문촌마을,경기도 고양시 일산서구 주엽로 98,126.7573278,37.6673823
고양시,토당동,상명유치원,031-974-9888,유치원,사립,10508,경기도 고양시 덕양구 토당동 37-15번지 가동,경기도 고양시 덕양구 능곡로45번길 65,126.8229851,37.6256327
고양시,마두동 ,보보유치원,031-903-3644,유치원,사립,10417,경기도 고양시 일산동구 마두동 717번지 백마마을,경기도 고양시 일산동구 경의로 333,126.7912069,37.6588798
고양시,토당동,능곡성당유치원,031-974-4525,유치원,사립,10508,경기도 고양시 덕양구 토당동 292-39번지,경기도 고양시 덕양구 토당로78번길 7-14,126.8195368,37.6229155
고양시,관산동,고양관산초등학교병설유치원,031-969-8453,유치원,공립,10286,경기도 고양시 덕양구 관산동 995번지 관산초등학교,경기도 고양시 덕양구 통일로726번길 130,126.8663398,37.69193
고양시,가좌동 ,가좌초등학교병설유치원,031-922-6044,유치원,공립,10210,경기도 고양시 일산서구 가좌동 1099번지 가좌초등학교,경기도 고양시 일산서구 가좌2로 31,126.7210237,37.6885999
고양시,중산동 ,모심유치원,031-976-6436,유치원,사립,10337,경기도 고양시 일산동구 중산동 1566번지 중산마을,경기도 고양시 일산동구 탄중로 430,126.7782093,37.6885966
고양시,토당동,늘푸른무지개유치원,031-972-7112,유치원,사립,10511,경기도 고양시 덕양구 토당동 897-4번지 무지개유치원 39,경기도 고양시 덕양구 지도로104번길 39,126.8259275,37.6267994
고양시,마두동 ,노벨유치원,031-904-2966,유치원,사립,10415,경기도 고양시 일산동구 마두동 794번지 강촌마을,경기도 고양시 일산동구 강송로 195,126.7814374,37.655294
고양시,고양동,나래유치원,031-963-3579,유치원,사립,10272,경기도 고양시 덕양구 고양동 8-4번지,경기도 고양시 덕양구 혜음로 85,126.9018963,37.7079849
고양시,대자동,꿈자람유치원,031-964-1191,유치원,사립,10280,경기도 고양시 덕양구 대자동 923-4번지,경기도 고양시 덕양구 무민로 38-53,126.8801126,37.7004592
고양시,주교동,꼬마드레유치원,031-964-6543,유치원,사립,10296,경기도 고양시 덕양구 주교동 450-7번지 87-104,경기도 고양시 덕양구 마상로57번길 87-104,126.8332049,37.669516
고양시,중산동 ,그네와시소유치원,031-975-0078,유치원,사립,10338,경기도 고양시 일산동구 중산동 1599번지 39-16,경기도 고양시 일산동구 탄중로425번길 39-16,126.7798161,37.6858247
고양시,일산동 ,해나라유치원,031-911-6168,유치원,사립,10360,경기도 고양시 일산서구 일산동 1090번지 후곡마을,경기도 고양시 일산서구 일산로 487,126.77246,37.6743503
고양시,대자동,경기유치원,031-964-9229,유치원,사립,10282,경기도 고양시 덕양구 대자동 305번지,경기도 고양시 덕양구 통일로542번길 27,126.8894172,37.6813231
고양시,주엽동 ,강선예일유치원,031-912-0574,유치원,사립,10361,경기도 고양시 일산서구 주엽동 63번지 강선마을,경기도 고양시 일산서구 강선로 70,126.7665123,37.6697436
고양시,도내동,흥도유치원,031-968-6875,유치원,공립,10551,경기도 고양시 덕양구 도내동 1100번지,경기도 고양시 덕양구 도래울1로 83,126.8675117,37.6272509
고양시,탄현동 ,황룡초등학교병설유치원,031-915-0291,유치원,공립,10240,경기도 고양시 일산서구 탄현동 1474번지 황룡초등학교,경기도 고양시 일산서구 탄현로 75,126.7680664,37.6981
고양시,화정동,화중초등학교병설유치원,031-967-8361,유치원,공립,10474,경기도 고양시 덕양구 화정동 871번지 화중초등학교병설유치원,경기도 고양시 덕양구 화중로152번길 43,126.8358201,37.6405536
고양시,탄현동 ,호곡초등학교병설유치원,031-918-7083,유치원,공립,10239,경기도 고양시 일산서구 탄현동 117-1번지 호곡초등학교 호곡초등학교병설유치원,경기도 고양시 일산서구 탄현로 109,126.7668784,37.7008726
고양시,탄현동 ,현산초등학교병설유치원,031-917-1448,유치원,공립,10345,경기도 고양시 일산서구 탄현동 1586번지,경기도 고양시 일산서구 산현로 87,126.7711232,37.6923219
고양시,행주내,행주초등학교병설유치원,031-979-3045,유치원,공립,10440,경기도 고양시 덕양구 행주내동 175번지 행주초등학교,경기도 고양시 덕양구 행주로17번길 70,126.8246818,37.6029397
고양시,행신동,행신초등학교병설유치원,031-978-8361,유치원,공립,10518,경기도 고양시 덕양구 행신동 983-1번지 행신초등학교 행신초등학교 병설유치원,경기도 고양시 덕양구 중앙로 527,126.8368479,37.6216076
고양시,덕이동 ,한산초등학교병설유치원,031-916-8455,유치원,공립,10236,경기도 고양시 일산서구 덕이동 1614번지 한산초등학교병설유치원,경기도 고양시 일산서구 하이파크1로 56,126.7535726,37.6955656
고양시,일산동 ,한뫼초등학교병설유치원,031-976-7502,유치원,공립,10351,경기도 고양시 일산서구 일산동 960-9번지 한뫼초등학교,경기도 고양시 일산서구 고양대로 629,126.7665729,37.6863755
고양시,대화동 ,한내유치원,031-924-2713,유치원,공립,10222,경기도 고양시 일산서구 대화동 882번지 고양한내초등학교,경기도 고양시 일산서구 고양대로255번길 27,126.7356872,37.6684345
고양시,중산동 ,하늘초등학교병설유치원,031-975-6363,유치원,공립,10311,경기도 고양시 일산동구 중산동 1799번지 하늘초등학교 하늘초등학교 병설유치원,경기도 고양시 일산동구 하늘마을1로 46,126.7900441,37.6771583
고양시,풍동 1,풍산초등학교병설유치원,031-908-8479,유치원,공립,10307,경기도 고양시 일산동구 풍동 1284번지 풍산초등학교,경기도 고양시 일산동구 숲속마을로 51,126.796682,37.6666018
고양시,풍동 1,풍동초등학교병설유치원,031-932-8737,유치원,공립,10305,경기도 고양시 일산동구 풍동 1266번지 풍동초등학교,경기도 고양시 일산동구 숲속마을로 14-43,126.8024552,37.6692696
고양시,풍동 1,풍동숲속유치원,031-932-9015,유치원,공립,10303,경기도 고양시 일산동구 풍동 1241-6번지 119,경기도 고양시 일산동구 숲속마을2로 100,126.8021503,37.6730441
고양시,토당동,토당초등학교병설유치원,031-972-9592,유치원,공립,10520,경기도 고양시 덕양구 토당동 409-12번지 토당초등학교,경기도 고양시 덕양구 행신로 90,126.8260075,37.6169699
고양시,일산동 ,늘푸름유치원,031-911-9810,유치원,사립,10374,경기도 고양시 일산서구 일산동 1066번지 후곡마을,경기도 고양시 일산서구 후곡로 36,126.765823,37.67977
고양시,화정동,지도초등학교병설유치원,031-974-0554,유치원,공립,10504,경기도 고양시 덕양구 화정동 1132번지 지도초등학교,경기도 고양시 덕양구 성신로 49,126.8337865,37.6279642
고양시,중산동 ,중산초등학교병설유치원,031-977-4193,유치원,공립,10332,경기도 고양시 일산동구 중산동 1575-3번지 중산초등학교,경기도 고양시 일산동구 탄중로 373,126.7836243,37.6900393
고양시,주엽동 ,주엽초등학교병설유치원,031-912-0026,유치원,공립,10385,경기도 고양시 일산서구 주엽동 100번지 주엽초등학교병설유치원,경기도 고양시 일산서구 강선로 29,126.7617151,37.6670761
고양시,마두동 ,저동초등학교병설유치원,031-914-0384,유치원,공립,10409,경기도 고양시 일산동구 마두동 818번지 경기도고양교육청,경기도 고양시 일산동구 중앙로 1296,126.7724649,37.6617368
고양시,대화동 ,장촌초등학교병설유치원,031-914-0471,유치원,공립,10383,경기도 고양시 일산서구 대화동 2269번지 장촌초등학교,경기도 고양시 일산서구 호수로856번길 43,126.7485706,37.6728236
고양시,식사동 ,일산은행초등학교병설유치원,031-969-6734,유치원,공립,10304,경기도 고양시 일산동구 식사동 916번지 일산은행초등학교,경기도 고양시 일산동구 은행마을로 70,126.8064343,37.668988
고양시,정발산동,율동초등학교병설유치원,031-913-0384,유치원,공립,10357,경기도 고양시 일산동구 정발산동 1117번지 율동초등학교,경기도 고양시 일산동구 산두로 223,126.7790658,37.6752099
고양시,주교동,원당초등학교병설유치원,031-969-6667,유치원,공립,10298,경기도 고양시 덕양구 주교동 313-8번지 원당초등학교,경기도 고양시 덕양구 마상로107번길 13,126.8351486,37.6620228
고양시,성사동,예일유치원,031-965-9659,유치원,사립,10463,경기도 고양시 덕양구 성사동 500-13번지 은진빌딩,경기도 고양시 덕양구 마상로154번길 11-8,126.8392378,37.65783
고양시,식사동 ,양일초등학교병설유치원,070-7744-1952,유치원,공립,10317,경기도 고양시 일산동구 식사동 1477번지 양일초등학교,경기도 고양시 일산동구 위시티로 151,126.8129889,37.6854864
고양시,중산동 ,안곡초등학교병설유치원,031-976-1627,유치원,공립,10334,경기도 고양시 일산동구 중산동 161-3번지 안곡초등학교 병설유치원,경기도 고양시 일산동구 중산로 142,126.781599,37.684819
고양시,행신동,아람초등학교병설유치원,031-979-5424,유치원,공립,10491,경기도 고양시 덕양구 행신동 1069번지 아람초등학교,경기도 고양시 덕양구 서정마을로 36,126.8503435,37.6192203
고양시,화정동,예사랑유치원,031-966-8320,유치원,사립,10477,경기도 고양시 덕양구 화정동 891번지 충현유치원,경기도 고양시 덕양구 화중로138번길 27,126.8337608,37.6393254
고양시,행신동,신능초등학교병설유치원,031-972-5227,유치원,공립,10513,경기도 고양시 덕양구 행신동 1005번지 신능초등학교,경기도 고양시 덕양구 충장로123번길 37,126.8312021,37.6237169
고양시,가좌동 ,송포초등학교병설유치원,031-923-0056,유치원,공립,10210,경기도 고양시 일산서구 가좌동 355-1번지,경기도 고양시 일산서구 송산로 379,126.7210466,37.6855457
고양시,행신동,소만유치원,031-979-3231,유치원,공립,10529,경기도 고양시 덕양구 행신동 780번지 소만초등학교,경기도 고양시 덕양구 화신로 48,126.8394516,37.6171605
고양시,대화동 ,성저초등학교병설유치원,031-919-3802,유치원,공립,10369,경기도 고양시 일산서구 대화동 2006번지 성저초등학교,경기도 고양시 일산서구 성저로 92,126.7571567,37.6848787
고양시,행신동,성신초등학교병설유치원,031-973-2228,유치원,공립,10494,경기도 고양시 덕양구 행신동 929번지 성신초등학교,경기도 고양시 덕양구 성신로 104,126.8401788,37.6264956
고양시,문봉동 ,성석초등학교병설유치원,031-977-2378,유치원,공립,10257,경기도 고양시 일산동구 문봉동 203-6번지 성석초등학교 성석초등학교병설유치원,경기도 고양시 일산동구 문봉길 110,126.812401,37.7070094
고양시,성사동,성사유치원,031-966-2781,유치원,공립,10466,경기도 고양시 덕양구 성사동 716번지 성사초등학교 성사유치원,경기도 고양시 덕양구 호국로834번길 89,126.8440095,37.6575212
고양시,행신동,서정초등학교병설유치원,031-979-7508,유치원,공립,10534,경기도 고양시 덕양구 행신동 1097번지 서정초등학교,경기도 고양시 덕양구 소원로 251,126.8486777,37.6141096
고양시,마두동 ,상탄초등학교병설유치원,031-914-0367,유치원,공립,10409,경기도 고양시 일산동구 마두동 818번지 경기도고양교육청,경기도 고양시 일산동구 중앙로 1296,126.7724649,37.6617368
고양시,원흥동,삼송초등학교병설유치원,031-966-2986,유치원,공립,10557,경기도 고양시 덕양구 원흥동 675번지 삼송초등학교 병설유치원,경기도 고양시 덕양구 세솔로 150,126.8822514,37.6540797
고양시,사리현동,벽제초등학교병설유치원,031-963-3147,유치원,공립,10260,경기도 고양시 일산동구 사리현동 122-2번지 벽제초등학교,경기도 고양시 일산동구 공릉천로 13,126.8433384,37.6957392
고양시,화정동,백양초등학교병설유치원,031-979-3771,유치원,공립,10499,경기도 고양시 덕양구 화정동 990번지 백양초등학교,경기도 고양시 덕양구 화신로 238,126.8360094,37.6318866
고양시,덕이동 ,백송초등학교병설유치원,031-919-1784,유치원,공립,10230,경기도 고양시 일산서구 덕이동 1532번지,경기도 고양시 일산서구 하이파크3로 110,126.7535183,37.7015929
고양시,마두동 ,백마초등학교병설유치원,031-902-9616,유치원,공립,10417,경기도 고양시 일산동구 마두동 718번지 백마초등학교,경기도 고양시 일산동구 일산로 230,126.7909841,37.657546
고양시,고양동,목암초등학교병설유치원,031-962-4462,유치원,공립,10270,경기도 고양시 덕양구 고양동 722번지 목암초병설,경기도 고양시 덕양구 푸른마을로 63,126.9045877,37.7137353
고양시,중산동 ,모당초등학교병설유치원,031-975-9239,유치원,공립,10355,경기도 고양시 일산동구 중산동 1684번지 모당초등학교,경기도 고양시 일산동구 하늘마을로 144,126.7808784,37.6793488
고양시,도내동,도래울초등학교병설유치원,031-963-6898,유치원,공립,10551,경기도 고양시 덕양구 도내동 1012번지,경기도 고양시 덕양구 도래울3로 5,126.8705284,37.6316781
고양시,덕이동 ,덕이초등학교병설유치원,031-914-2118,유치원,공립,10237,경기도 고양시 일산서구 덕이동 219-5번지,경기도 고양시 일산서구 덕이로 10,126.7582646,37.6892957
고양시,행신동,무원유치원,031-970-2211,유치원,사립,10521,경기도 고양시 덕양구 행신동 692번지 무원마을,경기도 고양시 덕양구 무원로 63,126.8304899,37.6181928
고양시,대화동 ,대화초등학교병설유치원,031-918-3192,유치원,공립,10218,경기도 고양시 일산서구 대화동 1643번지 대화초등학교,경기도 고양시 일산서구 송포로 50,126.7324129,37.671184
고양시,대장동,대곡초등학교병설유치원,031-965-0123,유치원,공립,10456,경기도 고양시 덕양구 대장동 226-2번지 대곡초등학교,경기도 고양시 덕양구 대주로 138-50,126.8124001,37.6408515
고양시,풍동 1,다솜초등학교병설유치원,031-932-8567,유치원,공립,10303,경기도 고양시 일산동구 풍동 1232번지 다솜초등학교,경기도 고양시 일산동구 숲속마을로 139,126.7965189,37.6722956
고양시,도내동,다솔유치원,031-968-5294,유치원,공립,10551,경기도 고양시 덕양구 도내동 1000번지 다솔유치원,경기도 고양시 덕양구 도래울1로 37,126.867087,37.6303047
고양시,토당동,능곡초등학교병설유치원,031-972-0358,유치원,공립,10509,경기도 고양시 덕양구 토당동 278-2번지 능곡초등학교,경기도 고양시 덕양구 토당로67번길 66,126.8161237,37.6243336
고양시,마두동 ,냉천초등학교병설유치원,031-902-3418,유치원,공립,10407,경기도 고양시 일산동구 마두동 830번지,경기도 고양시 일산동구 산두로 99,126.7858248,37.6663481
고양시,내유동,내유초등학교병설유치원,031-962-4632,유치원,공립,10264,경기도 고양시 덕양구 내유동 431-7번지 내유초등학교,경기도 고양시 덕양구 통일로 1132,126.8515868,37.7154271
고양시,백석동 ,금계초등학교병설유치원,031-907-0246,유치원,공립,10420,경기도 고양시 일산동구 백석동 1192번지 금계초등학교,경기도 고양시 일산동구 강촌로 90,126.7840485,37.64983
고양시,고양동,고양초등학교병설유치원,031-962-0323,유치원,공립,10275,경기도 고양시 덕양구 고양동 236번지 고양초등학교,경기도 고양시 덕양구 혜음로13번길 22-7,126.899783,37.7026854
고양시,일산동 ,고양일산유치원,031-975-6523,유치원,공립,10353,경기도 고양시 일산서구 일산동 630-1번지 고양일산유치원,경기도 고양시 일산서구 일중로15번길 38,126.7719357,37.6825751
고양시,행신동,고양용현초등학교병설유치원,031-970-1814,유치원,공립,10527,경기도 고양시 덕양구 행신동 770번지 고양용현초등학교,경기도 고양시 덕양구 화신로 21,126.8381542,37.6148071
고양시,백석동 ,고양백석초등학교병설유치원,031-901-4231,유치원,공립,10419,경기도 고양시 일산동구 백석동 1188번지 백송마을,경기도 고양시 일산동구 강촌로 140,126.7891307,37.6517945
고양시,행신동,이튼어린이집,031-970-3334,어린이집,민간,10524,경기도 고양시 덕양구 행신동 727번지,경기도 고양시 덕양구 무원로 52 (행신동),126.8325275,37.6174637
고양시,풍동 1,크레파스어린이집,031-901-2256,어린이집,민간,10304,경기도 고양시 일산동구 풍동 174번지 관리동 크레파스 어린이집,경기도 고양시 일산동구 은행마을로 16 관리동 크레파스 어린이집,126.8042763,37.6650318
고양시,고양동,그림나라어린이집,031-963-2366,어린이집,민간,10270,경기도 고양시 덕양구 고양동 719번지 푸른마을 3단지 내,경기도 고양시 덕양구 푸른마을로 15 푸른마을 3단지 내 (벽제동),126.9031678,37.7099258
