시군명,시설명,전화번호,지정일자,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
화성시,남양우리소아청소년과의원,031-355-5657,2015-10-05,18261,경기도 화성시 남양읍 남양리 1203번지 302호,경기도 화성시 남양읍 남양성지로 135,126.8180987,37.2088654
남양주시,남양주 한양병원,031-510-0114,2010-11-01,12048,경기도 남양주시 오남읍 오남리 571번지,경기도 남양주시 오남읍 양지로 47-55,127.2042511,37.6824942
남양주시,남양주백병원,031-572-3111,2012-05-04,12066,경기도 남양주시 진접읍 금곡리 1083-5번지 장현리 661,경기도 남양주시 진접읍 해밀예당1로 30-25,127.1875556,37.7111901
남양주시,남양주우리병원,031-570-1079,2011-01-19,12045,경기도 남양주시 오남읍 양지리 104-2번지,경기도 남양주시 오남읍 진건오남로797번길 9,127.2013107,37.6979146
화성시,남양편안한내과의원,031-356-6780,2016-06-22,18261,경기도 화성시 남양읍 남양리 1172-4번지 삼기프라자 3층,경기도 화성시 남양읍 남양성지로 123,126.8171768,37.2081342
남양주시,남정우산부인과의원,031-559-1004,2012-01-03,12150,경기도 남양주시 호평동 640번지 호평씨네마타워 504호,경기도 남양주시 늘을2로 26,127.244021,37.6550032
군포시,남천병원,031-390-2114,2016-06-13,15820,경기도 군포시 산본동 1100-1번지,경기도 군포시 고산로 575,126.9258382,37.3646097
성남시,남형근소아청소년과의원,031-734-5582,2010-11-01,13272,경기도 성남시 수정구 신흥동 2465-7번지 신동아파라디움 2465-7,경기도 성남시 수정구 공원로 322,127.151876,37.4434151
안산시,내마음내과의원,031-480-6870,2012-11-01,15360,"경기도 안산시 단원구 고잔동 534-3번지 중앙노블레스 504호,505호",경기도 안산시 단원구 예술대학로 17,126.8364676,37.3185929
부천시,내사랑내과의원,032-666-8111,2016-06-17,14709,경기도 부천시 심곡본동 534-12번지,경기도 부천시 경인로 201,126.7779308,37.4837857
성남시,네이브키즈연세소아청소년과의원,031-622-1777,2013-10-01,13497,경기도 성남시 분당구 야탑동 358-3번지 분당아미고타워 309호,경기도 성남시 분당구 야탑로81번길 10,127.1281589,37.4108083
용인시,노블산부인과의원,031-261-3550,2016-06-16,16930,경기도 용인시 수지구 상현동 254-14번지 원희캐슬프라자 A동 4층 406호,경기도 용인시 수지구 만현로 110,127.0844687,37.3067342
성남시,노블진내과의원,031-719-2579,2010-12-24,13618,경기도 성남시 분당구 금곡동 151번지 골드프라자 305호,경기도 성남시 분당구 돌마로 87,127.1116594,37.3503127
김포시,노상준가정의원,031-984-3014,2010-10-28,10102,경기도 김포시 감정동 676번지 2층,경기도 김포시 봉화로181번길 31-20,126.6998848,37.6259664
성남시,노성희산부인과의원,031-717-4288,2016-05-12,13625,경기도 성남시 분당구 구미동 204-3번지 진도훼미리프라자 206호,경기도 성남시 분당구 미금로 37,127.1161533,37.336595
광명시,노순태내과의원,02-2619-7055,2009-11-04,14291,경기도 광명시 광명동 290-14번지 동진프라자 4층,경기도 광명시 광명로 841,126.8516561,37.4742354
의정부시,노아소아청소년과의원,031-853-2698,2010-11-02,11610,경기도 의정부시 녹양동 412-10번지 성해프라자 301호,경기도 의정부시 체육로 306-14,127.0412959,37.7604036
성남시,노유석내과의원,031-714-7512,2016-06-16,13625,경기도 성남시 분당구 구미동 203-2번지 진도훼미리프라자 310호,경기도 성남시 분당구 미금로 45,127.1157709,37.3374784
시흥시,녹향의원,031-310-5300,2010-05-04,14975,경기도 시흥시 하중동 825-1번지 녹향의원,경기도 시흥시 하중로 127,126.8002965,37.3993033
고양시,누가가정의학과의원,031-918-8121,2009-02-25,10347,경기도 고양시 일산서구 일산동 2041번지 에이스10차아파트,,126.7691572,37.6901557
광명시,누가광명의원,02-894-2376,2014-03-28,14248,경기도 광명시 하안동 34-8번지 3층,경기도 광명시 범안로 1045,126.8787849,37.4623468
수원시,누가소아청소년과의원,031-227-3083,2016-07-15,16420,"경기도 수원시 장안구 천천동 334-1번지 천천 푸르지오 3층 301,302호",경기도 수원시 장안구 화산로125번길 5,126.9802584,37.2941819
안산시,누가의원,031-419-4870,2010-01-01,15544,경기도 안산시 상록구 본오동 762-18번지,경기도 안산시 상록구 각골로 70,126.8729013,37.2956805
시흥시,누가의원,031-431-7776,2013-05-20,15020,경기도 시흥시 정왕동 1881-9번지 굿모닝프라자 301호,경기도 시흥시 함송로 21,126.7306985,37.3636639
부천시,누가의원,032-655-9598,2009-02-23,14748,경기도 부천시 심곡본동 623-6번지 623-6,경기도 부천시 심곡로 73,126.775146,37.4774644
용인시,누가이비인후과의원,031-274-7550,2008-11-01,17003,경기도 용인시 기흥구 동백동 598-8번지 598-8,경기도 용인시 기흥구 동백7로 73,127.1595406,37.2819346
광주시,누리소아청소년과의원,031-797-8255,2010-11-02,12759,경기도 광주시 경안동 32-3번지 클리닉빌딩 3층,경기도 광주시 중앙로 101,127.2583648,37.4087245
부천시,누리안유영길김태형내과김영찬방사선과의원,032-673-4305,2016-06-17,14431,경기도 부천시 원종동 227-1번지 대현상가 2층,경기도 부천시 소사로 759,126.8045078,37.5238374
의왕시,누리이비인후과의원,031-462-7575,2009-03-02,16090,경기도 의왕시 삼동 181-8번지 삼원상가 2층,경기도 의왕시 부곡시장3길 3,126.9524305,37.3189785
파주시,뉴삼성의원,031-947-8275,2016-06-16,10851,경기도 파주시 아동동 283-10번지 팜스프링 상가 306호,경기도 파주시 송화로 11,126.7770388,37.7716715
이천시,뉴선두연합내과의원,031-643-5300,2016-06-14,17420,경기도 이천시 장호원읍 장호원리 66-19번지 뉴선두연합내과의원,경기도 이천시 장호원읍 장터로83번길 43,127.6332539,37.1176259
남양주시,뉴연세의원,031-595-2389,2016-07-18,12190,경기도 남양주시 화도읍 월산리 1528번지 월산부영1단지 상가 3동 201호,경기도 남양주시 화도읍 경춘로2248번길 15,127.3402697,37.6559114
구리시,느티나무의료복지사회적협동조합 느티나무의원,031-555-8005,2015-08-26,11921,경기도 구리시 인창동 670-7번지 화성골드프라자,,127.1404301,37.6043366
고양시,늘사랑가정의학과의원,031-919-7054,2012-10-31,10357,경기도 고양시 일산동구 정발산동 1137-1,경기도 고양시 일산동구 일산로 442,126.7778239,37.6735408
수원시,늘편한가정의학과의원,031-214-0894,2013-05-15,16531,경기도 수원시 영통구 매탄동 172-71번지 늘편한가정의학과의원,경기도 수원시 영통구 중부대로246번길 51,127.0417797,37.2726251
광명시,늘편한내과의원,02-2681-5887,2016-07-18,14220,경기도 광명시 광명동 158-81번지 현대아이타워 302호,경기도 광명시 광명로 906,126.8548447,37.4796544
성남시,늘푸른가정의학과의원,031-719-5575,2016-05-31,13555,경기도 성남시 분당구 정자동 8-3번지 월드프라자 206호,경기도 성남시 분당구 정자일로 240,127.1062145,37.3714734
성남시,늘푸른산부인과의원,031-719-1004,2016-05-17,13618,경기도 성남시 분당구 금곡동 153번지 썬프라자 302~304호,경기도 성남시 분당구 돌마로 79,127.1107452,37.3503135
수원시,늘푸른소아과의원,031-214-2142,2010-10-29,16240,경기도 수원시 팔달구 우만동 561-2번지 우암빌딩 301호,경기도 수원시 팔달구 중부대로143번길 29,127.0319733,37.2795658
군포시,늘푸른소아과의원,031-454-3729,2010-11-01,15856,경기도 군포시 당동 898번지 당동빌딩 204호,경기도 군포시 군포로 494,126.9448138,37.3503665
용인시,늘푸른연세미의원,031-338-7255,2009-03-01,17051,경기도 용인시 처인구 김량장동 295-1번지 위너스프라자 501호,경기도 용인시 처인구 금령로 62,127.2032339,37.2345196
남양주시,늘푸른의원,031-577-3826,2010-11-01,12275,경기도 남양주시 와부읍 도곡리 1012번지 한강우성 상가 204호,경기도 남양주시 와부읍 덕소로 270,127.2229184,37.5774796
하남시,늘푸른의원,031-794-3443,2012-01-10,12981,"경기도 하남시 덕풍동 681-1번지 한솔리치빌아파트 1차상가 201,202,206호",,127.1977037,37.5324567
용인시,늘푸른이비인후과의원,031-274-2577,2010-11-01,16892,경기도 용인시 기흥구 청덕동 502-2번지 구성프라자 301호,경기도 용인시 기흥구 구성3로28번길 30,127.1520699,37.2960273
안양시,늘푸른이비인후과의원,031-422-1841,2011-02-09,14062,"경기도 안양시 동안구 평촌동 21-2번지 밀레니엄프라자 303호,304호",경기도 안양시 동안구 흥안대로456번길 82,126.9798899,37.3930865
고양시,능곡성모의원,031-974-8268,2013-02-27,10516,경기도 고양시 덕양구 토당동 882번지 가남프라자 201호,경기도 고양시 덕양구 행당로 2,126.8247323,37.619743
고양시,능곡연세의원,031-979-4384,2013-02-26,10494,경기도 고양시 덕양구 행신동 936번지 능곡중앙교육센타 행신동 936 능곡중앙교육센타,경기도 고양시 덕양구 충장로152번길 59,126.8385409,37.624358
고양시,능곡의원,031-972-1112,2013-02-26,10507,"경기도 고양시 덕양구 토당동 840-3 능곡종합클리닉 3,4층",경기도 고양시 덕양구 지도로 105,126.8233682,37.6264712
광주시,능골성모의원,031-765-8275,2009-02-27,12773,경기도 광주시 오포읍 능평리 77-1번지 능골성모의원,경기도 광주시 오포읍 오포로 129,127.1800975,37.3446797
부천시,다나내과의원,032-663-7001,2009-02-23,14711,경기도 부천시 심곡본동 667-3번지 부곡빌딩 2층,경기도 부천시 경인로 210,126.7785317,37.4832102
의정부시,다나소아청소년과의원,031-855-1001,2011-05-09,11637,"경기도 의정부시 호원동 51-2번지 하나프라자 305,306호",경기도 의정부시 외미로 95,127.0458486,37.7245169
남양주시,다나의원,031-527-5300,2010-11-01,12036,경기도 남양주시 오남읍 양지리 95-6번지 양지리 95-6 2층,경기도 남양주시 오남읍 진건오남로 788,127.2038038,37.6974149
고양시,김은실한재희소아과의원,031-979-2237,2013-02-26,10494,경기도 고양시 덕양구 행신동 937번지 햇빛마을20단지상가,경기도 고양시 덕양구 충장로152번길 47,126.8380648,37.6245555
수원시,김이비인후과의원,031-205-5633,2012-01-02,16703,경기도 수원시 영통구 영통동 960-3번지 뉴월드프라자 304호,경기도 수원시 영통구 봉영로 1569,127.07094,37.2519874
평택시,김이비인후과의원,031-668-6882,2009-02-27,17774,경기도 평택시 서정동 818-36번지 롯데시네마 3층,경기도 평택시 관광특구로 19,127.0609808,37.0671252
동두천시,김이비인후과의원,031-867-7575,2011-12-28,11329,경기도 동두천시 생연동 601-63번지 601-60 삼성코아 3층,경기도 동두천시 중앙로 272,127.0543679,37.9056845
안양시,김장욱이비인후과의원,031-447-7577,2012-02-02,14021,경기도 안양시 만안구 안양동 767번지 성원상가 2층,경기도 안양시 만안구 병목안로 81,126.9142325,37.394443
의정부시,김재하내과의원,031-844-5577,2016-06-22,11695,경기도 의정부시 의정부동 197-4번지,경기도 의정부시 평화로 550,127.0473217,37.7410129
용인시,김재한내과의원,031-896-7022,2010-11-01,16898,경기도 용인시 기흥구 보정동 1208-1번지 성진웰빙타운 302호,경기도 용인시 기흥구 죽전로 47,127.1138279,37.3206762
시흥시,김정수이비인후과의원,031-491-4550,2010-11-11,15070,경기도 시흥시 거모동 1742-5번지 거모프라자 303호,경기도 시흥시 군자로 514,126.7847242,37.3441698
안양시,김정오소아과의원,031-453-3369,2011-06-08,14125,경기도 안양시 동안구 호계동 802-5번지 화일빌딩 203호,경기도 안양시 동안구 경수대로 466,126.9594553,37.3645277
남양주시,김정하이비인후과의원,031-576-3137,2010-11-01,12211,경기도 남양주시 와부읍 덕소리 112-2번지 중앙프라자 302호,경기도 남양주시 와부읍 덕소로97번길 4,127.2126167,37.5855081
성남시,김정혜산부인과의원,031-744-7147,2015-08-06,13354,경기도 성남시 수정구 신흥동 2490번지,경기도 성남시 수정구 산성대로 289,127.1488217,37.4417431
용인시,김정훈이비인후과의원,031-274-8275,2011-05-02,17080,경기도 용인시 기흥구 보라동 577번지 베스트프라자 301호,경기도 용인시 기흥구 한보라1로 14,127.1095474,37.2534907
의정부시,김정희가정의학과의원,031-855-7701,2012-10-24,11654,경기도 의정부시 의정부동 594-2번지 소아빌딩 2층,경기도 의정부시 신흥로 171,127.0432661,37.731293
의정부시,김종규이비인후과의원,031-872-8771,2009-02-26,11704,경기도 의정부시 호원동 426번지 회룡프라자 401호,경기도 의정부시 평화로 375,127.0478227,37.725291
하남시,김종완소아청소년과의원,031-792-6527,2009-03-23,12969,경기도 하남시 덕풍동 394-1번지 하남프라자 303호,경기도 하남시 신장로 156,127.2018982,37.5398739
부천시,김종찬소아과의원,032-661-9348,2010-03-15,14722,경기도 부천시 송내동 373번지 대우프라자 502호,경기도 부천시 중동로 48,126.7642256,37.4843985
용인시,김종화푸른소아과의원,031-266-3010,2011-12-30,16837,경기도 용인시 수지구 풍덕천동 707번지 풍덕천동 707 한길빌딩3층,경기도 용인시 수지구 문정로 46,127.0946307,37.3244589
안양시,김진경산부인과의원,031-452-8250,2016-06-15,14114,경기도 안양시 동안구 호계동 938-21번지 938-21,경기도 안양시 동안구 경수대로 611,126.955316,37.3768069
용인시,김진영내과의원,031-263-9875,2012-02-16,16815,경기도 용인시 수지구 신봉동 31번지 홍천말프라자 301호,경기도 용인시 수지구 신봉2로 3,127.0772772,37.3232907
성남시,김진홍의원,031-735-1811,2009-02-19,13151,경기도 성남시 중원구 은행동 550번지 은행2동 550-4,경기도 성남시 중원구 산성대로552번길 15,127.1695955,37.4589697
부천시,김찬호내과가정의학과의원,032-342-0453,2015-04-04,14670,"경기도 부천시 역곡동 84번지 덕산빌딩 401,402,403호",경기도 부천시 역곡로 24,126.8111056,37.4874032
의정부시,김철우내과의원,031-873-0333,2011-04-11,11683,경기도 의정부시 가능동 647-30번지 2층,경기도 의정부시 가능로 97,127.0419924,37.746898
남양주시,김철하소아청소년과의원,031-593-9210,2010-11-01,12179,경기도 남양주시 화도읍 창현리 489-14번지 금용빌딩 3층,경기도 남양주시 화도읍 마석중앙로 56-5,127.305907,37.6523918
부천시,김치선의원,032-325-4201,2010-03-15,14536,경기도 부천시 중동 1041번지 덕유상가 204호,경기도 부천시 도약로 146,126.7651789,37.5082227
고양시,김태빈내과의원,031-975-8402,2010-10-27,10336,경기도 고양시 일산동구 중산동 1561번지 대성상가 302호,경기도 고양시 일산동구 중산로 245,126.7802912,37.6937901
안양시,김태숙소아과의원,031-458-9982,2010-10-29,14112,경기도 안양시 동안구 호계동 1003-9번지 536 303호,경기도 안양시 동안구 경수대로 536,126.9582551,37.3706091
의정부시,김태형내과의원,031-845-7533,2009-02-26,11740,경기도 의정부시 신곡동 673-4번지 대명프라자 201호,경기도 의정부시 추동로 15,127.0577384,37.7432609
김포시,김포하나이비인후과의원,031-981-7979,2014-06-16,10073,경기도 김포시 운양동 1299-1번지 광장프라자 306호,경기도 김포시 김포한강1로 227,126.6825231,37.6540758
화성시,김현미산부인과의원,031-613-7582,2016-05-09,18442,경기도 화성시 반송동 218-1번지 계림빌딩 301호,경기도 화성시 동탄솔빛로 68,127.0748641,37.1943278
김포시,김현미소아청소년과의원,031-982-5412,2010-10-29,10101,경기도 김포시 북변동 757번지 산호프라자 304호,경기도 김포시 봉화로182번길 26,126.7030011,37.6284971
성남시,김현소아청소년과의원,031-755-4235,2010-11-01,13368,경기도 성남시 중원구 성남동 3788번지 신명빌딩 2층,경기도 성남시 중원구 제일로 37,127.1365408,37.4302518
양주시,김형주내과의원,031-861-7780,2009-02-25,11456,경기도 양주시 덕정동 208-6번지 403호 두리테크,경기도 양주시 회정로 134,127.0683385,37.8370893
포천시,김형진이비인후과의원,031-541-1986,2016-06-16,11175,경기도 포천시 소흘읍 송우리 191-1번지 송우리 191-1 1층,경기도 포천시 소흘읍 솔모루로 71-6,127.1460582,37.8281732
고양시,김혜숙산부인과의원,031-915-9243,2016-06-16,10386,"경기도 고양시 일산서구 주엽동 102번지 일산비스타오피스텔 208호,209호",경기도 고양시 일산서구 강선로 49,126.7633193,37.668683
성남시,김호수소아과의원,031-711-5493,2009-02-28,13600,경기도 성남시 분당구 수내동 79-1번지 그랜드빌딩 309,경기도 성남시 분당구 돌마로356번길 3,127.12327,37.3696732
시흥시,김희승내과의원,031-432-5544,2010-10-30,15052,경기도 시흥시 정왕동 1212-9번지 시화프라자약국 2층,경기도 시흥시 군서마을로 36,126.7477723,37.3452221
용인시,김희연가정의학과의원,031-285-5548,2010-11-01,16921,경기도 용인시 기흥구 마북동 524-13번지 벽산주상가 304호,경기도 용인시 기흥구 용구대로 2398,127.1071885,37.300238
시흥시,꾸러기소아청소년과의원,031-316-9955,2010-10-30,14995,경기도 시흥시 능곡동 762번지 송죽센타프라자 401~2호,경기도 시흥시 승지로60번길 25,126.8122117,37.3679139
안양시,꾸러기소아청소년과의원,031-466-9475,2010-10-29,14009,경기도 안양시 만안구 박달동 85-9번지,경기도 안양시 만안구 박달로 504,126.9086213,37.4023315
용인시,꾸러기소아청소년과의원,031-896-2228,2012-11-01,16930,경기도 용인시 수지구 상현동 66-9번지 상현종합상가 201-1호,경기도 용인시 수지구 만현로 88,127.0851928,37.308761
부천시,꿈마을연세가정의학과의원,032-654-5454,2009-08-04,14550,경기도 부천시 중동 1102번지 꿈마을제상가 2층202호,경기도 부천시 옥산로 65,126.7794351,37.4987721
파주시,꿈소아청소년과의원,031-953-1275,2012-08-16,10824,경기도 파주시 문산읍 문산리 10-47번지 우리들클리닉센터 202호,경기도 파주시 문산읍 문향로 52-1,126.7855634,37.8566645
김포시,나너셋소아과의원,031-982-8893,2010-10-28,10077,경기도 김포시 장기동 545-5번지 월드4차상가 207호,경기도 김포시 전원로 44,126.6854196,37.6471552
고양시,나눔가정의학과의원,031-938-9962,2013-02-26,10513,경기도 고양시 덕양구 행신동 634-35번지 2층,경기도 고양시 덕양구 행신로143번길 72-1,126.8313181,37.6225548
수원시,대동내과의원,031-232-7831,2016-06-16,16475,경기도 수원시 팔달구 인계동 924-9,경기도 수원시 팔달구 인계로 15,127.0193087,37.2704048
김포시,대디맘소아청소년과의원,031-984-0645,2010-10-29,10083,경기도 김포시 장기동 1886-5번지 한강노블레스 303호,경기도 김포시 김포한강2로 232,126.660578,37.6455721
안산시,대아의료재단한도병원,031-8040-1114,2013-03-01,15367,경기도 안산시 단원구 선부동 1071-1번지,경기도 안산시 단원구 선부광장로 103,126.8075809,37.3339471
군포시,대야미중앙의원,031-437-7500,2010-11-01,15887,경기도 군포시 대야미동 654-3번지 201호,경기도 군포시 대야1로22번길 3,126.917459,37.3276172
성남시,대진의료재단분당제생병원,031-779-0114,2013-07-23,13590,경기도 성남시 분당구 서현동 255-2번지,경기도 성남시 분당구 서현로180번길 20,127.1215717,37.3880556
수원시,대한산업보건협회부설수원의원,031-267-4400,2016-06-16,16489,경기도 수원시 팔달구 인계동 1036번지 미디어시티빌딩 5층,경기도 수원시 팔달구 인계로 126,127.031247,37.2671859
안산시,대한산업보건협회부설안산성모의원,031-498-1063,2016-06-16,15402,경기도 안산시 단원구 신길동 1614번지 신우프라자 2층~5층,경기도 안산시 단원구 신길로1길 86,126.7869188,37.3305054
포천시,더건강한내과의원,031-536-7582,2016-06-27,11145,경기도 포천시 신읍동 39-4번지 동평빌딩 3층,경기도 포천시 구절초로 28,127.2018875,37.896329
고양시,더나은내과의원,031-938-5392,2013-02-26,10503,경기도 고양시 덕양구 화정동 1000-3번지 네이버타운 604호,경기도 고양시 덕양구 백양로 51,126.8331243,37.6302427
평택시,더네이처산부인과의원,031-668-3579,2014-07-30,17763,"경기도 평택시 지산동 1077번지 2,3,5층",경기도 평택시 지산로 64,127.0620025,37.0796224
안산시,더베스트내과의원,031-487-1119,2016-06-16,15470,경기도 안산시 단원구 고잔동 771-3번지 더베스트내과의원,경기도 안산시 단원구 광덕대로 154,126.8306879,37.3102322
수원시,더웰병원,031-8006-4543,2012-10-31,16704,"경기도 수원시 영통구 영통동 996-3번지 대우월드마크영통 3,5.6,7,8층",경기도 수원시 영통구 봉영로 1620,127.0755867,37.254904
수원시,더웰이비인후과의원,031-213-3586,2011-05-09,16543,경기도 수원시 영통구 매탄동 923-15번지,경기도 수원시 영통구 인계로 220,127.041336,37.2647953
용인시,더조은내과의원,031-898-2820,2016-06-16,16860,"경기도 용인시 수지구 성복동 33-5번지 수지제일아이조움 지하1층B138,B139,B140호",경기도 용인시 수지구 심곡로 87,127.0815741,37.310926
용인시,더좋은소아청소년과의원,031-897-7588,2015-11-30,16903,경기도 용인시 기흥구 보정동 1277번지 지젤스포츠클럽,경기도 용인시 기흥구 보정로 32,127.1111557,37.31393
시흥시,더클래식산부인과의원,031-431-7110,2016-06-13,15066,경기도 시흥시 정왕동 1735-1번지 씨드랜드프라자 4층,경기도 시흥시 중심상가2길 2,126.7357735,37.3458624
부천시,도당삼성의원,032-678-8119,2010-03-15,14459,경기도 부천시 도당동 116-14번지 도당동 116~14호,경기도 부천시 삼작로 287,126.7933976,37.5202953
고양시,도래울아이랑소아청소년과의원,031-966-2220,2014-05-26,10551,경기도 고양시 덕양구 도내동 1020번지 센터프라자 3층301호,경기도 고양시 덕양구 도래울로 52,126.8694547,37.6302984
남양주시,도심의원,031-521-2360,2016-06-07,12274,경기도 남양주시 와부읍 도곡리 1027-10번지 재우빌딩 201호,경기도 남양주시 와부읍 덕소로 228,127.221305,37.5793116
성남시,독일키즈의원,031-753-0509,2012-01-02,13277,경기도 성남시 수정구 태평동 2370번지 2층,경기도 성남시 수정구 시민로 227,127.1404599,37.447997
고양시,동국대학교일산불교병원,031-961-7000,2009-02-20,10326,경기도 고양시 일산동구 식사동 814번지,경기도 고양시 일산동구 동국로 27,126.8064263,37.6763218
동두천시,동두천중앙성모병원,031-863-0550,2011-12-29,11326,경기도 동두천시 생연동 577-4번지,경기도 동두천시 동광로 53,127.053904,37.9090181
고양시,동문연세소아과의원,031-812-3651,2013-02-26,10497,경기도 고양시 덕양구 화정동 969번지 동원텔 3층 303호,경기도 고양시 덕양구 화정로 47,126.8313685,37.6351054
용인시,사랑샘소아과의원,031-338-6808,2010-11-01,17041,경기도 용인시 처인구 유방동 328-2번지 해피랜드 307호,경기도 용인시 처인구 백옥대로 1374,127.2128773,37.2578576
안산시,사랑샘의원,031-402-7533,2016-06-16,15453,경기도 안산시 단원구 초지동 740-2번지 한남스포랜드 203호,경기도 안산시 단원구 초지동로 7,126.8161623,37.3043174
안성시,사랑소아청소년과의원,031-655-0852,2010-10-28,17559,경기도 안성시 공도읍 만정리 274-3번지 274-3 골드타운 1번가 303호,경기도 안성시 공도읍 공도로 132,127.1749386,37.0013542
김포시,사랑소아청소년과의원,070-4265-8911,2013-02-01,10088,경기도 김포시 장기동 2055-3번지 센타프라자 302호,경기도 김포시 김포한강2로 110,126.6716075,37.639405
성남시,사랑의내과소아청소년과의원,031-734-4430,2009-09-03,13402,경기도 성남시 중원구 상대원동 5430-6번지 상대원2동 5430-6,경기도 성남시 중원구 둔촌대로 381,127.1589295,37.433549
이천시,사랑의원,031-633-7940,2016-06-17,17408,경기도 이천시 모가면 진가리 111-11번지,경기도 이천시 모가면 진상미로 1277-2,127.4796286,37.1701439
평택시,사랑의의원,031-654-0654,2015-08-17,17836,경기도 평택시 세교동 555번지 부영아파트 205호,,127.0857272,37.0030809
군포시,사랑이가득한소아과의원,031-393-7005,2010-11-01,15806,경기도 군포시 산본동 213-7번지 1층,경기도 군포시 금산로 98,126.9369521,37.3705811
안산시,사회복지법인안산제일복지재단부설안산제일복지의원,031-482-7002,2016-06-16,15387,경기도 안산시 단원구 초지동 604-3번지,경기도 안산시 단원구 원초로 76,126.8058862,37.3261415
군포시,산본가정의학과의원,031-391-2015,2010-11-01,15802,경기도 군포시 산본동 1066-2번지 1066-2 203호,경기도 군포시 고산로677번길 40,126.9305039,37.3727217
군포시,산본연세내과의원,031-399-2456,2010-11-01,15865,"경기도 군포시 산본동 1132번지 성진빌딩 701,702",경기도 군포시 산본로343번길 7,126.9319264,37.360667
군포시,산본연세소아청소년과의원,031-397-3003,2012-04-10,15865,경기도 군포시 산본동 1123-2번지 인베스텔 402호,경기도 군포시 산본천로 62,126.9305383,37.3603599
군포시,산본제일병원,031-396-3301,2013-03-01,15818,"경기도 군포시 산본동 1097-4번지 산본로 386번길 4-11,2~4층",경기도 군포시 산본로 374,126.9310883,37.3635858
군포시,산본제일의원,031-397-8857,2009-02-23,15806,경기도 군포시 산본동 206-7번지,경기도 군포시 고산로 704,126.9361492,37.3721124
성남시,산성의원,031-742-5030,2010-11-01,13127,경기도 성남시 수정구 산성동 1423번지 1423,경기도 성남시 수정구 수정남로291번길 1,127.1509601,37.4545526
포천시,삼성가정의학과의원,031-534-7582,2016-05-25,11106,경기도 포천시 영북면 운천리 506-58번지 2층,경기도 포천시 영북면 영북로 189,127.2740695,38.0909716
용인시,삼성굿모닝의원,031-896-0037,2012-11-01,16828,경기도 용인시 수지구 동천동 873-3번지 동천타워 304호,경기도 용인시 수지구 손곡로 83,127.0932679,37.3358668
용인시,삼성그린소아과의원,031-274-0035,2010-11-01,17006,경기도 용인시 기흥구 중동 853-1번지 우함빌딩 405호,경기도 용인시 기흥구 동백중앙로 175,127.1541266,37.2699039
하남시,삼성내과의원,031-796-3341,2009-12-14,12927,경기도 하남시 덕풍동 744-2번지 풍산캐슬빌딩 402호,경기도 하남시 덕풍동로 111,127.2084236,37.5510799
